public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
19990630,Consumer Discretionary,1212,0.027503,0.056948,0.000,0.161,0.639,13.129,1.46%,7.561,6.111,9.990,9.879,9.899,11.006,0.577,1.658,0.382,0.383,0.080,0.079,0.068,0.299,0.023,0.057,0.087,0.105,0.151,0.036,0.125,0.112,0.077,0.276,0.700,0.278,0.409,0.350,0.311,0.277,0.270,0.111,0.073,0.058,0.162,0.496,0.569,1.559,0.365,0.102,0.081,0.351,2.115,1.091,0.536,0.263,0.463,2.128,2.783,86.479,0.165,1.796,1.033,1.343,4.692,10.199,8.239,2.973,1.955,5.612,0.045,0.000,0.000,0.000,0.349,0.745
19990630,Consumer Staples,280,0.023087,-0.010384,0.080,0.386,0.519,15.967,1.58%,8.983,9.307,13.158,13.000,13.597,15.468,0.598,1.790,0.374,0.465,0.108,0.107,0.096,0.332,0.023,0.057,0.085,0.118,0.170,0.038,0.137,0.129,0.103,0.356,0.624,0.359,0.469,0.437,0.328,0.280,0.327,0.114,0.053,0.056,0.143,0.556,0.470,1.837,0.532,0.096,0.077,0.410,1.713,1.268,0.578,0.312,0.501,2.503,3.585,62.364,0.123,1.730,0.906,1.444,5.521,10.199,10.790,3.708,2.161,7.810,0.041,0.000,0.000,0.000,0.657,1.277
19990630,Energy,235,0.035888,0.001524,0.000,0.045,0.764,13.675,1.92%,7.826,6.159,-1.560,-1.478,-1.133,-0.760,1.576,1.600,0.347,0.141,-0.071,-0.068,0.000,0.275,-0.056,-0.003,0.132,-0.007,-0.007,-0.071,0.083,-0.007,-0.063,0.390,0.593,0.388,0.438,0.044,0.527,-0.557,0.528,0.130,0.052,0.097,0.054,0.462,0.298,2.002,0.590,0.084,0.078,0.539,0.795,1.184,0.555,0.336,0.493,-0.175,-0.110,39.508,0.184,1.235,1.043,0.376,14.369,5.965,5.144,0.938,0.477,6.842,0.113,0.000,0.000,0.000,-0.096,-0.054
19990630,Financials,1112,0.023980,0.032879,0.000,0.575,0.692,18.620,2.27%,10.276,3.332,12.671,12.665,12.192,12.807,1.798,1.536,0.347,0.047,0.117,0.116,0.000,0.490,0.112,0.257,0.289,0.143,0.252,0.168,0.030,0.112,0.116,0.327,0.673,0.328,0.528,0.000,0.354,0.904,0.265,0.028,0.067,0.149,0.247,0.457,0.667,3.084,0.469,0.089,0.074,0.076,53.858,8.298,0.892,0.119,0.891,2.164,3.040,275.450,0.563,1.887,1.668,0.093,10.387,0.064,0.161,1.000,0.592,5.002,-0.000,0.000,0.000,0.164,0.689,1.036
19990630,Health Care,812,0.031804,0.040895,0.000,-0.000,0.403,-2.554,1.14%,4.134,-1.607,-2.107,-2.118,-1.576,-1.414,2.316,2.573,0.368,0.212,-0.072,-0.094,0.000,0.297,-0.055,-0.012,0.022,-0.044,-0.051,-0.062,0.015,-0.029,-0.101,0.077,0.878,0.077,0.154,0.064,0.250,0.409,-0.125,-0.093,0.752,-0.003,0.257,0.043,0.716,0.000,0.083,0.108,0.082,0.203,2.240,0.470,0.337,0.108,0.233,-0.642,0.362,94.062,1.399,3.014,2.492,0.699,4.079,9.372,5.329,1.173,0.902,1.994,0.038,0.087,0.000,0.000,-0.050,0.536
19990630,Industrials,1033,0.035149,0.060118,0.000,0.242,0.654,15.625,1.54%,7.427,7.565,10.897,10.845,10.816,12.054,0.661,1.666,0.380,0.333,0.109,0.109,0.088,0.290,0.035,0.075,0.109,0.126,0.187,0.055,0.140,0.138,0.105,0.248,0.729,0.248,0.355,0.220,0.442,0.353,0.293,0.131,0.089,0.075,0.153,0.537,0.537,1.360,0.324,0.093,0.075,0.323,2.152,1.074,0.526,0.228,0.419,3.201,4.510,76.381,0.188,1.898,1.348,1.210,5.697,10.313,6.077,2.680,1.794,5.372,0.035,0.000,0.000,0.000,0.402,0.861
19990630,Information Technology,1269,0.079203,0.122734,0.000,0.094,0.415,9.849,1.07%,7.486,5.956,-1.052,-1.051,4.919,7.002,1.706,2.720,0.353,0.449,0.001,-0.006,0.000,0.433,-0.006,0.020,0.050,0.030,0.050,-0.004,0.064,0.045,-0.003,0.019,0.965,0.020,0.073,0.133,0.330,0.555,0.141,0.064,0.735,0.041,0.435,0.212,0.890,0.000,0.017,0.150,0.089,0.042,2.871,0.514,0.351,0.052,0.194,0.777,1.440,87.495,0.964,2.569,2.061,1.040,4.596,7.274,4.998,1.682,1.494,2.643,0.067,0.107,0.000,0.000,-0.036,0.499
19990630,Materials,299,0.039391,0.021292,0.193,0.350,0.727,14.184,1.86%,7.329,6.257,10.888,10.445,10.438,11.658,0.705,1.530,0.369,0.233,0.068,0.070,0.072,0.254,0.029,0.076,0.125,0.091,0.131,0.049,0.120,0.104,0.063,0.376,0.595,0.368,0.449,0.383,0.396,0.341,0.401,0.136,0.045,0.084,0.118,0.629,0.337,2.270,0.555,0.084,0.071,0.432,1.404,1.348,0.588,0.302,0.499,2.218,3.157,81.370,0.125,1.896,1.136,0.970,5.269,9.187,6.759,2.427,1.448,5.396,0.055,0.000,0.000,0.000,-0.007,1.136
19990630,Telecommunication Services,117,0.078739,0.054565,0.190,-0.007,0.255,-3.723,1.72%,7.874,3.086,-3.246,-3.220,-3.134,-3.026,2.890,4.286,0.396,0.201,0.019,-0.032,-0.005,0.376,-0.137,0.012,0.129,0.016,0.031,-0.151,0.089,0.012,-0.074,0.604,0.373,0.589,0.638,0.014,0.441,-0.061,0.123,0.042,0.120,0.019,0.039,0.422,0.236,1.160,0.933,0.095,0.087,0.645,1.989,1.524,0.708,0.483,0.662,-0.149,0.226,28.897,0.433,1.560,1.338,0.457,16.112,4.913,5.858,1.528,0.589,2.144,0.092,0.000,0.000,0.000,-0.149,-0.115
19990630,Utilities,162,0.013619,-0.032512,0.023,1.209,0.854,17.619,4.68%,8.208,7.512,14.272,14.272,14.019,14.360,1.179,1.274,0.357,0.118,0.111,0.109,0.083,0.261,0.071,0.159,0.251,0.097,0.118,0.112,0.119,0.114,0.080,0.494,0.479,0.493,0.583,0.171,0.464,0.266,0.482,0.108,0.017,0.162,0.145,0.795,0.212,3.294,0.724,0.084,0.071,0.462,0.968,2.101,0.676,0.384,0.562,2.228,2.743,29.446,0.089,0.858,0.676,0.449,16.083,10.079,8.675,1.470,0.706,16.839,0.037,0.000,0.000,0.000,1.043,2.741
