,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
0,19990630,Consumer Discretionary,1212,0.027502999999999996,0.056948,0.0,0.161,0.639,13.129000000000001,1.46,7.561,6.111000000000001,9.99,9.879,9.899,11.005999999999998,0.5770000000000001,1.6580000000000001,0.382,0.38299999999999995,0.08,0.079,0.068,0.299,0.023,0.057,0.087,0.105,0.151,0.036000000000000004,0.125,0.11199999999999999,0.077,0.276,0.7,0.278,0.409,0.35,0.311,0.27699999999999997,0.27,0.111,0.073,0.057999999999999996,0.162,0.496,0.569,1.5590000000000002,0.365,0.102,0.081,0.35100000000000003,2.115,1.091,0.536,0.263,0.46299999999999997,2.128,2.783,86.479,0.165,1.796,1.033,1.3430000000000002,4.692,10.199,8.238999999999999,2.9730000000000003,1.955,5.612,0.045,0.0,0.0,0.0,0.349,0.745
10,19990731,Consumer Discretionary,1207,-0.012501,-0.058988,0.0,0.146,0.637,12.421,1.53,7.474,5.9270000000000005,9.423,9.266,9.585,10.73,0.568,1.6119999999999999,0.382,0.384,0.08199999999999999,0.079,0.068,0.299,0.023,0.057,0.08800000000000001,0.105,0.149,0.036000000000000004,0.126,0.11199999999999999,0.078,0.273,0.6990000000000001,0.276,0.409,0.349,0.31,0.284,0.27399999999999997,0.109,0.075,0.057999999999999996,0.165,0.499,0.568,1.517,0.355,0.102,0.081,0.348,2.121,1.104,0.537,0.263,0.46299999999999997,2.137,2.813,85.999,0.166,1.798,1.034,1.3430000000000002,4.692,10.142000000000001,8.231,2.99,1.98,5.617000000000001,0.045,0.0,0.0,0.0,0.297,0.725
20,19990831,Consumer Discretionary,1202,-0.061424,-0.040874,0.0,0.14400000000000002,0.5770000000000001,11.555,1.65,7.2829999999999995,5.482,8.732000000000001,8.472999999999999,8.7,9.327,0.524,1.521,0.382,0.381,0.08199999999999999,0.078,0.068,0.302,0.024,0.055999999999999994,0.08900000000000001,0.10300000000000001,0.151,0.036000000000000004,0.125,0.10800000000000001,0.077,0.27699999999999997,0.7,0.278,0.413,0.349,0.306,0.295,0.27,0.114,0.069,0.057,0.168,0.496,0.5660000000000001,1.5390000000000001,0.37,0.10099999999999999,0.081,0.34,2.101,1.109,0.5379999999999999,0.265,0.467,2.113,2.702,85.91,0.163,1.788,1.0190000000000001,1.3630000000000002,4.622,10.107000000000001,8.297,3.052,1.985,5.678,0.048,0.0,0.0,0.0,0.223,0.626
30,19990930,Consumer Discretionary,1192,-0.029445999999999996,0.018782,0.0,0.14300000000000002,0.5770000000000001,10.845999999999998,1.75,7.252999999999999,5.247000000000001,8.249,7.8660000000000005,8.221,8.725,0.518,1.459,0.382,0.382,0.085,0.081,0.07,0.304,0.024,0.055999999999999994,0.08900000000000001,0.102,0.15,0.036000000000000004,0.125,0.107,0.08,0.276,0.7020000000000001,0.275,0.41200000000000003,0.34700000000000003,0.305,0.293,0.27,0.113,0.068,0.057999999999999996,0.16899999999999998,0.491,0.5670000000000001,1.5819999999999999,0.37,0.1,0.081,0.337,2.129,1.11,0.54,0.263,0.46399999999999997,2.119,2.7060000000000004,85.561,0.163,1.788,1.021,1.359,4.667,10.083,8.186,3.055,1.9809999999999999,5.6610000000000005,0.048,0.0,0.0,0.0,0.2,0.588
40,19991031,Consumer Discretionary,1185,-0.010786,0.055737,0.0,0.14,0.578,10.287,1.64,7.316,5.0760000000000005,7.771,7.473,7.781000000000001,8.304,0.494,1.383,0.382,0.386,0.086,0.08199999999999999,0.07,0.303,0.024,0.055,0.08900000000000001,0.102,0.15,0.036000000000000004,0.124,0.107,0.081,0.271,0.705,0.27,0.41100000000000003,0.35,0.304,0.295,0.26899999999999996,0.113,0.068,0.057,0.172,0.48700000000000004,0.569,1.629,0.358,0.1,0.081,0.336,2.137,1.101,0.5379999999999999,0.263,0.45899999999999996,2.109,2.6719999999999997,85.164,0.161,1.7890000000000001,1.0190000000000001,1.365,4.678,10.113,8.259,3.0669999999999997,1.993,5.662000000000001,0.048,0.0,0.0,0.0,0.163,0.583
50,19991130,Consumer Discretionary,1186,0.050519,0.027107,0.0,0.132,0.648,10.168,1.58,7.226,4.86,7.671,7.44,7.781000000000001,8.061,0.496,1.433,0.381,0.38299999999999995,0.08,0.079,0.068,0.307,0.022000000000000002,0.055999999999999994,0.08900000000000001,0.10400000000000001,0.152,0.035,0.12300000000000001,0.10800000000000001,0.077,0.26899999999999996,0.698,0.268,0.406,0.35,0.302,0.303,0.268,0.114,0.067,0.057,0.177,0.479,0.573,1.639,0.353,0.10099999999999999,0.081,0.33799999999999997,2.13,1.089,0.539,0.264,0.46299999999999997,2.097,2.701,84.882,0.159,1.7830000000000001,1.002,1.374,4.645,10.088,8.171,3.071,1.9869999999999999,5.607,0.05,0.0,0.0,0.0,0.171,0.5820000000000001
60,19991231,Consumer Discretionary,1180,0.014568000000000001,0.089901,0.0,0.129,0.6659999999999999,9.943999999999999,1.55,7.193,4.854,7.5729999999999995,7.25,7.797999999999999,7.986000000000001,0.5,1.365,0.381,0.382,0.081,0.079,0.068,0.306,0.023,0.057,0.09,0.10400000000000001,0.154,0.036000000000000004,0.12300000000000001,0.10800000000000001,0.077,0.27,0.7,0.267,0.397,0.34700000000000003,0.304,0.299,0.28,0.114,0.07,0.057,0.171,0.486,0.5760000000000001,1.631,0.35200000000000004,0.10099999999999999,0.081,0.33799999999999997,2.201,1.083,0.5379999999999999,0.261,0.461,2.127,2.6919999999999997,84.637,0.161,1.761,1.004,1.376,4.631,10.019,8.187999999999999,3.0669999999999997,1.986,5.615,0.049,0.0,0.0,0.0,0.17,0.573
70,20000131,Consumer Discretionary,1175,0.001372,-0.083977,0.0,0.113,0.662,10.016,1.75,7.162000000000001,4.673,7.245,6.84,7.528,7.638999999999999,0.483,1.36,0.381,0.38299999999999995,0.081,0.079,0.068,0.307,0.024,0.057,0.09,0.10400000000000001,0.156,0.037000000000000005,0.12300000000000001,0.109,0.078,0.26899999999999996,0.6990000000000001,0.27,0.397,0.344,0.303,0.29600000000000004,0.278,0.114,0.07,0.057,0.17,0.48700000000000004,0.5720000000000001,1.611,0.354,0.1,0.08,0.34,2.206,1.079,0.5379999999999999,0.261,0.46,2.155,2.721,84.064,0.162,1.768,1.002,1.371,4.659,10.024,8.32,3.0639999999999996,1.986,5.574,0.048,0.0,0.0,0.0,0.141,0.539
80,20000229,Consumer Discretionary,1169,0.016472,-0.040306,0.0,0.155,0.6779999999999999,9.617,1.85,6.797999999999999,4.779,7.386,7.236000000000001,7.522,7.77,0.475,1.349,0.38,0.38,0.075,0.075,0.077,0.311,0.023,0.057,0.091,0.10099999999999999,0.155,0.037000000000000005,0.12300000000000001,0.106,0.081,0.267,0.7120000000000001,0.26899999999999996,0.397,0.33899999999999997,0.28800000000000003,0.348,0.278,0.12,0.076,0.057,0.14800000000000002,0.488,0.5770000000000001,1.5219999999999998,0.342,0.105,0.086,0.33,2.1790000000000003,1.0979999999999999,0.537,0.262,0.451,2.035,2.608,82.802,0.161,1.744,1.0090000000000001,1.3780000000000001,4.745,10.334000000000001,8.889,3.01,1.986,5.486000000000001,0.05,0.0,0.0,0.0,0.23399999999999999,0.541
90,20000331,Consumer Discretionary,1158,0.040869,0.108847,0.0,0.209,0.693,9.853,1.72,6.519,4.838,7.9110000000000005,7.8260000000000005,7.974,8.333,0.491,1.357,0.38,0.37799999999999995,0.077,0.075,0.081,0.311,0.023,0.055999999999999994,0.08900000000000001,0.10400000000000001,0.157,0.037000000000000005,0.125,0.10800000000000001,0.083,0.267,0.7120000000000001,0.26899999999999996,0.39299999999999996,0.337,0.287,0.35100000000000003,0.26899999999999996,0.11199999999999999,0.08,0.055999999999999994,0.141,0.48100000000000004,0.57,1.43,0.34600000000000003,0.107,0.087,0.32899999999999996,2.156,1.094,0.537,0.262,0.449,1.9909999999999999,2.58,81.70100000000001,0.171,1.746,1.0170000000000001,1.382,4.842,10.519,8.929,2.944,1.986,5.486000000000001,0.05,0.0,0.0,0.0,0.345,0.629
