,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
1,19990630,Consumer Staples,280,0.023087,-0.010384000000000001,0.08,0.386,0.519,15.967,1.58,8.982999999999999,9.307,13.158,13.0,13.597000000000001,15.468,0.598,1.79,0.374,0.465,0.10800000000000001,0.107,0.096,0.332,0.023,0.057,0.085,0.11800000000000001,0.17,0.038,0.13699999999999998,0.129,0.10300000000000001,0.35600000000000004,0.624,0.359,0.469,0.43700000000000006,0.32799999999999996,0.28,0.327,0.114,0.053,0.055999999999999994,0.14300000000000002,0.556,0.47,1.837,0.532,0.096,0.077,0.41,1.713,1.268,0.578,0.312,0.501,2.503,3.585,62.364,0.12300000000000001,1.73,0.9059999999999999,1.444,5.521,10.199,10.79,3.708,2.161,7.81,0.040999999999999995,0.0,0.0,0.0,0.657,1.2770000000000001
11,19990731,Consumer Staples,277,0.0010119999999999999,-0.009138,0.10400000000000001,0.336,0.526,15.923,1.63,8.935,9.36,13.075999999999999,13.032,12.982000000000001,14.697000000000001,0.5920000000000001,1.825,0.374,0.473,0.10800000000000001,0.107,0.09699999999999999,0.33799999999999997,0.023,0.055999999999999994,0.085,0.114,0.16699999999999998,0.037000000000000005,0.13699999999999998,0.129,0.105,0.35700000000000004,0.621,0.361,0.473,0.43700000000000006,0.32799999999999996,0.276,0.32299999999999995,0.115,0.053,0.057999999999999996,0.142,0.562,0.469,1.839,0.532,0.096,0.078,0.41,1.72,1.2790000000000001,0.581,0.314,0.507,2.509,3.63,62.437,0.122,1.719,0.915,1.431,5.541,10.252,11.136,3.786,2.175,7.81,0.04,0.0,0.0,0.0,0.662,1.192
21,19990831,Consumer Staples,280,-0.049901,-0.020751,0.054000000000000006,0.24100000000000002,0.506,14.690999999999999,1.73,8.601,7.821000000000001,12.015999999999998,11.960999999999999,12.263,13.237,0.557,1.7169999999999999,0.374,0.467,0.107,0.105,0.09300000000000001,0.345,0.021,0.057999999999999996,0.084,0.11699999999999999,0.168,0.035,0.138,0.126,0.098,0.35100000000000003,0.62,0.35100000000000003,0.47200000000000003,0.43700000000000006,0.325,0.29600000000000004,0.33,0.128,0.05,0.059000000000000004,0.146,0.556,0.465,1.7690000000000001,0.531,0.09699999999999999,0.078,0.409,1.7269999999999999,1.307,0.5870000000000001,0.32,0.509,2.334,3.4610000000000003,63.974,0.11599999999999999,1.671,0.895,1.4080000000000001,5.53,10.273,10.815,3.806,2.181,7.327000000000001,0.042,0.0,0.0,0.0,0.496,1.111
31,19990930,Consumer Staples,276,-0.041707,-0.099938,0.040999999999999995,0.19399999999999998,0.502,14.23,1.97,8.623,7.156000000000001,11.365,11.105,11.365,12.298,0.5479999999999999,1.662,0.374,0.466,0.107,0.105,0.092,0.35,0.021,0.057999999999999996,0.085,0.11699999999999999,0.168,0.035,0.14,0.128,0.10099999999999999,0.35,0.62,0.35,0.47,0.44,0.325,0.335,0.33399999999999996,0.132,0.052000000000000005,0.059000000000000004,0.147,0.5589999999999999,0.462,1.805,0.521,0.09699999999999999,0.077,0.408,1.689,1.3259999999999998,0.588,0.319,0.511,2.334,3.313,65.222,0.11900000000000001,1.671,0.883,1.4080000000000001,5.375,10.208,10.794,3.766,2.184,7.362,0.043,0.0,0.0,0.0,0.386,1.033
41,19991031,Consumer Staples,273,-0.022585,0.067741,0.040999999999999995,0.17600000000000002,0.502,13.375,1.9,8.582,6.912999999999999,10.845999999999998,10.696,10.95,11.523,0.518,1.567,0.373,0.465,0.10800000000000001,0.107,0.09300000000000001,0.348,0.022000000000000002,0.057999999999999996,0.085,0.11699999999999999,0.168,0.036000000000000004,0.141,0.128,0.10300000000000001,0.34600000000000003,0.621,0.34700000000000003,0.46299999999999997,0.439,0.324,0.332,0.324,0.133,0.052000000000000005,0.059000000000000004,0.146,0.5660000000000001,0.465,1.791,0.508,0.09699999999999999,0.078,0.409,1.669,1.3159999999999998,0.588,0.32,0.509,2.342,3.305,64.395,0.12,1.6680000000000001,0.8809999999999999,1.4069999999999998,5.367999999999999,10.052,10.805,3.7319999999999998,2.199,7.412999999999999,0.042,0.0,0.0,0.0,0.377,0.965
51,19991130,Consumer Staples,272,-0.000973,0.020442,0.06,0.18100000000000002,0.5529999999999999,14.355,1.93,8.536,6.903,10.843,10.429,11.109000000000002,11.177,0.484,1.495,0.375,0.48,0.10400000000000001,0.099,0.08800000000000001,0.35200000000000004,0.024,0.057,0.084,0.11599999999999999,0.171,0.037000000000000005,0.139,0.125,0.099,0.35600000000000004,0.615,0.354,0.48,0.43700000000000006,0.32,0.308,0.326,0.13699999999999998,0.046,0.057999999999999996,0.16,0.574,0.475,1.839,0.512,0.09699999999999999,0.076,0.401,1.706,1.3130000000000002,0.586,0.324,0.51,2.4659999999999997,3.487,65.372,0.11800000000000001,1.6119999999999999,0.8759999999999999,1.412,5.537000000000001,9.767999999999999,10.635,3.944,2.313,8.118,0.043,0.0,0.0,0.0,0.488,0.96
61,19991231,Consumer Staples,269,-0.005083,-0.034383,0.075,0.18600000000000003,0.57,14.370999999999999,2.17,8.536,7.0089999999999995,10.828,10.606,10.838,10.937999999999999,0.478,1.52,0.375,0.48,0.102,0.099,0.08900000000000001,0.35200000000000004,0.024,0.057,0.085,0.11699999999999999,0.18,0.037000000000000005,0.14,0.127,0.098,0.36200000000000004,0.611,0.361,0.486,0.436,0.325,0.308,0.326,0.138,0.046,0.057999999999999996,0.158,0.583,0.475,1.848,0.53,0.09699999999999999,0.076,0.40700000000000003,1.714,1.386,0.59,0.326,0.512,2.4530000000000003,3.4810000000000003,64.172,0.113,1.6119999999999999,0.882,1.429,5.537000000000001,9.746,10.635,3.992,2.318,8.198,0.042,0.0,0.0,0.0,0.498,0.9329999999999999
71,20000131,Consumer Staples,268,0.022084,-0.061519000000000004,0.067,0.172,0.5710000000000001,13.735999999999999,2.23,8.482999999999999,7.114,9.685,9.701,9.91,10.146,0.514,1.595,0.375,0.486,0.10300000000000001,0.1,0.09,0.35200000000000004,0.024,0.055999999999999994,0.085,0.11699999999999999,0.18100000000000002,0.037000000000000005,0.139,0.126,0.099,0.364,0.607,0.366,0.498,0.43700000000000006,0.327,0.313,0.32799999999999996,0.139,0.046,0.059000000000000004,0.159,0.5820000000000001,0.474,1.864,0.53,0.09699999999999999,0.076,0.40399999999999997,1.7209999999999999,1.39,0.594,0.327,0.517,2.4530000000000003,3.471,64.172,0.113,1.607,0.8809999999999999,1.433,5.528,9.827,10.811,4.062,2.318,8.309,0.042,0.0,0.0,0.0,0.469,0.848
81,20000229,Consumer Staples,266,0.034758,-0.100052,0.076,0.221,0.61,12.88,2.41,7.82,6.131,10.5,10.5,10.299000000000001,10.5,0.552,1.589,0.375,0.47700000000000004,0.102,0.09300000000000001,0.099,0.349,0.023,0.055999999999999994,0.086,0.11800000000000001,0.175,0.035,0.14,0.12300000000000001,0.094,0.38299999999999995,0.591,0.38299999999999995,0.509,0.441,0.33299999999999996,0.38,0.32299999999999995,0.133,0.046,0.06,0.16399999999999998,0.565,0.46399999999999997,1.945,0.557,0.096,0.077,0.41,1.726,1.367,0.602,0.331,0.5429999999999999,2.386,3.324,60.986000000000004,0.10400000000000001,1.594,0.84,1.456,5.376,10.164,10.946,3.931,2.303,8.562000000000001,0.044000000000000004,0.0,0.0,0.0,0.597,0.953
91,20000331,Consumer Staples,264,0.02683,-0.005646,0.092,0.252,0.61,13.640999999999998,2.26,7.796,6.215,10.376,9.906,10.245,10.487,0.515,1.589,0.376,0.47700000000000004,0.1,0.09300000000000001,0.1,0.348,0.022000000000000002,0.055,0.086,0.11699999999999999,0.17300000000000001,0.034,0.13699999999999998,0.12300000000000001,0.095,0.385,0.588,0.385,0.509,0.442,0.33299999999999996,0.386,0.32899999999999996,0.13699999999999998,0.045,0.06,0.16399999999999998,0.562,0.46399999999999997,1.9509999999999998,0.557,0.096,0.076,0.415,1.7180000000000002,1.403,0.605,0.332,0.545,2.2569999999999997,3.242,61.606,0.109,1.6059999999999999,0.83,1.442,5.3839999999999995,10.023,10.97,3.931,2.285,8.644,0.045,0.0,0.0,0.0,0.611,0.907
