,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
2,19990630,Energy,235,0.035887999999999996,0.001524,0.0,0.045,0.764,13.675,1.92,7.8260000000000005,6.159,-1.56,-1.4780000000000002,-1.133,-0.76,1.5759999999999998,1.6,0.34700000000000003,0.141,-0.071,-0.068,0.0,0.275,-0.055999999999999994,-0.003,0.132,-0.006999999999999999,-0.006999999999999999,-0.071,0.083,-0.006999999999999999,-0.063,0.39,0.593,0.38799999999999996,0.43799999999999994,0.044000000000000004,0.527,-0.557,0.528,0.13,0.052000000000000005,0.09699999999999999,0.054000000000000006,0.462,0.298,2.002,0.59,0.084,0.078,0.539,0.795,1.1840000000000002,0.555,0.336,0.493,-0.175,-0.11,39.508,0.184,1.235,1.043,0.376,14.369000000000002,5.965,5.144,0.938,0.47700000000000004,6.8420000000000005,0.113,0.0,0.0,0.0,-0.096,-0.054000000000000006
12,19990731,Energy,232,0.046456,0.022373,0.0,0.037000000000000005,0.764,14.523,1.81,7.735,6.601,-1.9909999999999999,-1.739,-1.128,-0.9159999999999999,1.7630000000000001,1.656,0.34700000000000003,0.146,-0.07200000000000001,-0.07,0.0,0.27699999999999997,-0.055,-0.006999999999999999,0.132,-0.008,-0.009000000000000001,-0.067,0.08800000000000001,-0.009000000000000001,-0.063,0.391,0.593,0.389,0.434,0.049,0.529,-0.5589999999999999,0.528,0.131,0.052000000000000005,0.099,0.053,0.475,0.295,2.031,0.597,0.084,0.078,0.5429999999999999,0.7929999999999999,1.182,0.555,0.335,0.484,-0.188,-0.182,39.597,0.18600000000000003,1.244,1.058,0.377,14.369000000000002,5.949,5.1339999999999995,0.9490000000000001,0.48100000000000004,7.165,0.11199999999999999,0.0,0.0,0.0,-0.102,-0.078
22,19990831,Energy,231,0.031955000000000004,0.016524,0.0,-0.002,0.616,11.686,1.88,8.543,6.599,-2.525,-2.416,-1.232,-0.81,1.75,1.725,0.348,0.131,-0.055,-0.047,0.0,0.24600000000000002,-0.054000000000000006,-0.005,0.136,-0.013999999999999999,-0.015,-0.067,0.083,-0.015,-0.067,0.397,0.585,0.395,0.45399999999999996,0.046,0.5329999999999999,-0.513,0.525,0.131,0.051,0.091,0.055999999999999994,0.444,0.293,2.266,0.61,0.086,0.077,0.545,0.809,1.1840000000000002,0.562,0.342,0.499,-0.1,-0.228,39.925,0.188,1.25,1.026,0.373,14.6,5.894,5.124,0.987,0.484,7.162000000000001,0.114,0.0,0.0,0.0,-0.075,-0.145
32,19990930,Energy,231,-0.014225,-0.041027999999999995,0.0,-0.002,0.609,11.247,2.16,8.388,6.331,-2.448,-2.431,-1.4140000000000001,-0.8,1.7480000000000002,1.703,0.34600000000000003,0.131,-0.048,-0.046,0.001,0.252,-0.049,-0.004,0.136,-0.005,-0.003,-0.057999999999999996,0.083,-0.005,-0.059000000000000004,0.395,0.585,0.39399999999999996,0.44799999999999995,0.044000000000000004,0.53,-0.457,0.525,0.13,0.054000000000000006,0.09300000000000001,0.054000000000000006,0.45899999999999996,0.293,2.263,0.604,0.085,0.077,0.551,0.805,1.182,0.5579999999999999,0.342,0.498,0.11199999999999999,-0.11599999999999999,40.784,0.192,1.2590000000000001,1.028,0.36700000000000005,14.6,5.9639999999999995,5.124,0.9470000000000001,0.475,7.056,0.11199999999999999,0.0,0.0,0.0,-0.086,-0.139
42,19991031,Energy,225,-0.075266,-0.025626999999999997,0.0,-0.001,0.608,12.62,2.0,8.538,6.117999999999999,-1.993,-1.902,-1.205,-0.74,1.7630000000000001,1.63,0.33799999999999997,0.131,-0.047,-0.042,0.004,0.248,-0.04,0.001,0.134,-0.003,-0.002,-0.052000000000000005,0.083,-0.003,-0.040999999999999995,0.38799999999999996,0.602,0.385,0.445,0.049,0.525,-0.445,0.534,0.132,0.057,0.098,0.053,0.473,0.295,2.2430000000000003,0.5920000000000001,0.085,0.077,0.544,0.7979999999999999,1.183,0.5539999999999999,0.337,0.49200000000000005,0.177,-0.002,40.784,0.19399999999999998,1.262,1.0290000000000001,0.385,14.559000000000001,6.204,5.132000000000001,0.9470000000000001,0.499,7.162000000000001,0.11,0.0,0.0,0.0,-0.075,-0.14800000000000002
52,19991130,Energy,223,-0.005563,0.026576,0.0,-0.0,0.595,10.088,1.86,8.218,6.577999999999999,-1.9240000000000002,-1.9240000000000002,-1.29,-1.206,1.661,1.4969999999999999,0.33799999999999997,0.14300000000000002,-0.036000000000000004,-0.027999999999999997,0.012,0.268,-0.027000000000000003,0.003,0.141,-0.004,0.0,-0.04,0.08900000000000001,0.0,-0.033,0.384,0.593,0.384,0.447,0.055,0.498,-0.40700000000000003,0.483,0.132,0.05,0.121,0.055999999999999994,0.53,0.293,2.282,0.589,0.08900000000000001,0.079,0.535,0.79,1.212,0.563,0.33799999999999997,0.498,0.41100000000000003,0.038,40.692,0.198,1.273,1.043,0.382,15.612,5.9079999999999995,5.169,0.9159999999999999,0.474,6.808,0.102,0.0,0.0,0.0,-0.061,-0.124
62,19991231,Energy,221,0.008473999999999999,-0.001418,0.0,-0.001,0.6,9.577,1.7,8.168,6.475,-2.029,-1.9869999999999999,-1.151,-1.1640000000000001,1.68,1.544,0.325,0.141,-0.036000000000000004,-0.027999999999999997,0.011000000000000001,0.276,-0.03,0.004,0.14300000000000002,-0.004,0.0,-0.040999999999999995,0.08800000000000001,0.0,-0.031,0.392,0.589,0.389,0.45399999999999996,0.055,0.498,-0.418,0.48100000000000004,0.13,0.052000000000000005,0.11800000000000001,0.054000000000000006,0.537,0.29100000000000004,2.282,0.601,0.087,0.078,0.546,0.79,1.2229999999999999,0.564,0.34,0.505,0.41100000000000003,0.038,41.044,0.198,1.29,1.051,0.379,15.470999999999998,5.891,5.162000000000001,0.894,0.462,6.697,0.10300000000000001,0.0,0.0,0.0,-0.059000000000000004,-0.11599999999999999
72,20000131,Energy,218,0.094284,-0.003701,0.0,-0.002,0.6,10.798,1.96,8.183,6.3260000000000005,-2.095,-2.095,-1.3,-1.2990000000000002,1.8530000000000002,1.516,0.325,0.14,-0.036000000000000004,-0.028999999999999998,0.012,0.27899999999999997,-0.031,0.005,0.14400000000000002,-0.001,0.001,-0.04,0.08900000000000001,0.001,-0.031,0.39299999999999996,0.585,0.392,0.456,0.057999999999999996,0.498,-0.423,0.48,0.13,0.05,0.121,0.048,0.551,0.29,2.252,0.605,0.087,0.079,0.5489999999999999,0.7879999999999999,1.2209999999999999,0.57,0.34,0.506,0.41200000000000003,0.059000000000000004,41.044,0.19899999999999998,1.276,1.056,0.37799999999999995,15.612,5.815,5.169,0.894,0.46,6.896,0.102,0.0,0.0,0.0,-0.064,-0.131
82,20000229,Energy,221,0.050411000000000004,-0.05139,0.0,0.092,0.662,11.385,2.24,8.212,5.481,7.422000000000001,7.102,9.465,9.576,1.89,1.4969999999999999,0.335,0.16399999999999998,0.024,0.035,0.055,0.39,0.019,0.057999999999999996,0.22899999999999998,0.040999999999999995,0.051,0.027999999999999997,0.11199999999999999,0.046,0.036000000000000004,0.385,0.584,0.38799999999999996,0.43799999999999994,0.057,0.532,-0.066,0.5429999999999999,0.139,0.061,0.168,0.04,0.754,0.29600000000000004,2.478,0.564,0.09,0.081,0.541,0.778,1.148,0.562,0.326,0.488,1.361,1.1909999999999998,59.588,0.228,1.3030000000000002,1.054,0.387,14.350999999999999,4.433,5.075,0.8490000000000001,0.455,5.872000000000001,0.081,0.0,0.0,0.0,0.038,0.823
92,20000331,Energy,220,0.173786,0.131719,0.0,0.1,0.624,12.072000000000001,1.87,8.216000000000001,6.069,7.629,7.117000000000001,10.071,10.503,2.2880000000000003,1.973,0.33899999999999997,0.163,0.024,0.032,0.054000000000000006,0.389,0.019,0.05,0.22899999999999998,0.040999999999999995,0.051,0.026000000000000002,0.11199999999999999,0.047,0.035,0.39,0.583,0.39399999999999996,0.43799999999999994,0.057999999999999996,0.535,-0.073,0.5429999999999999,0.142,0.061,0.16899999999999998,0.04,0.742,0.29600000000000004,2.524,0.579,0.09,0.08199999999999999,0.542,0.778,1.15,0.562,0.326,0.488,1.331,1.126,60.545,0.223,1.304,1.056,0.395,14.168,4.433,5.0169999999999995,0.856,0.45799999999999996,5.872000000000001,0.08199999999999999,0.0,0.0,0.0,0.14800000000000002,1.018
102,20000430,Energy,220,-0.038556,-0.0074329999999999995,0.0,0.109,0.644,11.522,1.88,8.193999999999999,6.0120000000000005,6.836,6.263,9.041,9.127,2.214,1.87,0.34,0.162,0.024,0.03,0.054000000000000006,0.389,0.019,0.05,0.22899999999999998,0.04,0.051,0.026000000000000002,0.11,0.047,0.035,0.376,0.583,0.38799999999999996,0.43799999999999994,0.055999999999999994,0.535,-0.081,0.541,0.14,0.061,0.166,0.036000000000000004,0.747,0.298,2.57,0.5770000000000001,0.09,0.08199999999999999,0.545,0.777,1.13,0.5589999999999999,0.326,0.485,1.33,1.156,61.501000000000005,0.223,1.311,1.064,0.387,13.950999999999999,4.433,5.0089999999999995,0.841,0.45299999999999996,6.056,0.081,0.0,0.0,0.0,0.092,0.972
112,20000531,Energy,218,0.149274,0.108429,0.0,0.027000000000000003,0.546,15.725,1.63,7.75,6.507000000000001,6.199,6.596,7.297000000000001,7.492999999999999,2.395,2.081,0.34,0.187,0.046,0.047,0.059000000000000004,0.406,0.03,0.076,0.231,0.061,0.07200000000000001,0.042,0.12300000000000001,0.066,0.042,0.389,0.574,0.391,0.441,0.05,0.516,-0.043,0.5670000000000001,0.145,0.055999999999999994,0.177,0.042,0.8029999999999999,0.308,2.17,0.59,0.087,0.08199999999999999,0.5539999999999999,0.789,1.156,0.555,0.326,0.485,1.685,1.729,41.748000000000005,0.23800000000000002,1.318,1.12,0.44,15.161,5.022,5.56,0.9520000000000001,0.526,6.603,0.073,0.0,0.0,0.0,0.027999999999999997,0.547
122,20000630,Energy,216,0.029699,-0.058073,0.0,0.021,0.557,14.618,1.68,7.75,6.396,6.212000000000001,6.593999999999999,7.082999999999999,7.212000000000001,2.539,2.103,0.34,0.185,0.048,0.049,0.059000000000000004,0.409,0.028999999999999998,0.076,0.262,0.061,0.07200000000000001,0.038,0.12300000000000001,0.064,0.046,0.391,0.5720000000000001,0.391,0.445,0.045,0.515,-0.003,0.574,0.14800000000000002,0.055999999999999994,0.19,0.042,0.8240000000000001,0.304,2.1790000000000003,0.59,0.087,0.08199999999999999,0.557,0.799,1.166,0.5579999999999999,0.326,0.48700000000000004,1.65,1.724,41.748000000000005,0.23600000000000002,1.318,1.113,0.435,15.161,4.955,5.564,0.9490000000000001,0.526,6.584,0.07400000000000001,0.0,0.0,0.0,0.027000000000000003,0.555
132,20000731,Energy,218,-0.06716,-0.029568,0.0,0.018000000000000002,0.526,13.665999999999999,1.72,7.709,5.916,5.539,5.5920000000000005,6.882999999999999,7.019,2.355,2.019,0.337,0.184,0.048,0.051,0.06,0.409,0.03,0.076,0.262,0.061,0.07200000000000001,0.04,0.127,0.064,0.046,0.391,0.5720000000000001,0.391,0.445,0.045,0.515,0.0,0.584,0.14800000000000002,0.055999999999999994,0.177,0.042,0.853,0.304,2.17,0.588,0.087,0.08199999999999999,0.5539999999999999,0.802,1.166,0.5579999999999999,0.326,0.48700000000000004,1.7480000000000002,1.729,42.534,0.23,1.307,1.107,0.435,15.155,4.926,5.564,0.9520000000000001,0.53,6.603,0.07400000000000001,0.0,0.0,0.0,0.026000000000000002,0.556
142,20000831,Energy,219,0.162873,0.091251,0.0,0.034,0.485,15.41,1.38,7.425,6.909,7.553,7.726,8.437999999999999,8.704,2.525,2.201,0.34,0.20199999999999999,0.076,0.079,0.075,0.413,0.043,0.08900000000000001,0.26899999999999996,0.077,0.1,0.07400000000000001,0.136,0.091,0.075,0.371,0.573,0.37,0.439,0.040999999999999995,0.521,-0.02,0.607,0.149,0.061,0.203,0.045,0.945,0.31,1.8840000000000001,0.54,0.091,0.084,0.534,0.8059999999999999,1.198,0.552,0.322,0.486,2.045,2.256,38.84,0.215,1.236,1.097,0.451,15.331,4.9110000000000005,5.64,0.988,0.589,8.841000000000001,0.07200000000000001,0.0,0.0,0.0,0.032,0.69
152,20000930,Energy,218,0.042539,0.043436,0.0,0.037000000000000005,0.49,16.63,1.32,7.42,7.131,7.834,7.879,8.547,8.52,2.616,2.298,0.341,0.20199999999999999,0.07400000000000001,0.078,0.075,0.413,0.042,0.087,0.265,0.076,0.098,0.073,0.135,0.09,0.07400000000000001,0.368,0.575,0.36700000000000005,0.43200000000000005,0.042,0.515,-0.028999999999999998,0.585,0.147,0.06,0.201,0.045,0.9440000000000001,0.313,1.91,0.534,0.09,0.084,0.535,0.805,1.198,0.55,0.319,0.48200000000000004,1.954,2.176,38.84,0.214,1.25,1.102,0.447,15.402999999999999,4.95,5.6370000000000005,0.988,0.584,8.418,0.07200000000000001,0.0,0.0,0.0,0.032,0.7040000000000001
162,20001031,Energy,218,-0.085868,-0.034219,0.0,0.032,0.49700000000000005,14.942,1.45,7.209,6.171,7.1610000000000005,6.922000000000001,8.138,8.032,2.36,2.117,0.341,0.20199999999999999,0.07400000000000001,0.077,0.07400000000000001,0.413,0.043,0.086,0.268,0.075,0.09699999999999999,0.07200000000000001,0.133,0.08900000000000001,0.073,0.369,0.574,0.368,0.435,0.042,0.514,-0.03,0.563,0.147,0.057999999999999996,0.2,0.042,0.945,0.31,1.9369999999999998,0.537,0.09,0.083,0.536,0.8059999999999999,1.198,0.551,0.322,0.483,1.954,2.176,38.84,0.214,1.2570000000000001,1.1,0.451,15.402999999999999,4.989,5.64,0.99,0.581,8.298,0.073,0.0,0.0,0.0,0.024,0.644
172,20001130,Energy,220,-0.052805,-0.028737000000000002,0.0,0.061,0.46799999999999997,17.009,1.5,6.731,5.33,7.693,7.818,7.558,7.733,2.013,1.851,0.34,0.212,0.10400000000000001,0.106,0.08900000000000001,0.435,0.064,0.11,0.28600000000000003,0.087,0.12,0.08800000000000001,0.152,0.105,0.098,0.369,0.5920000000000001,0.37,0.42200000000000004,0.042,0.518,-0.022000000000000002,0.7709999999999999,0.149,0.057999999999999996,0.204,0.036000000000000004,0.982,0.307,1.743,0.547,0.09,0.085,0.523,0.7979999999999999,1.1520000000000001,0.542,0.31,0.478,2.44,2.645,41.25899999999999,0.21,1.3,1.082,0.48,15.914000000000001,5.24,5.591,1.071,0.618,8.198,0.077,0.0,0.0,0.0,0.023,0.65
182,20001231,Energy,221,0.23526599999999998,0.093689,0.0,0.079,0.45799999999999996,19.463,1.25,6.731,6.805,10.05,10.054,9.526,10.05,2.524,2.278,0.34299999999999997,0.215,0.10400000000000001,0.106,0.087,0.43700000000000006,0.064,0.11,0.281,0.08800000000000001,0.121,0.092,0.154,0.107,0.09699999999999999,0.369,0.594,0.369,0.41700000000000004,0.043,0.518,0.0,0.7709999999999999,0.149,0.057999999999999996,0.201,0.035,0.982,0.307,1.743,0.546,0.09,0.085,0.523,0.7979999999999999,1.146,0.546,0.309,0.478,2.3930000000000002,2.5810000000000004,44.001000000000005,0.21,1.31,1.0959999999999999,0.48,15.88,5.372000000000001,5.5360000000000005,1.077,0.621,8.133,0.077,0.0,0.0,0.0,0.027999999999999997,0.792
