,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
3,19990630,Financials,1112,0.02398,0.032879,0,0.575,0.692,18.62,2.27,10.276,3.332,12.671,12.665,12.192,12.807,1.798,1.536,0.347,0.047,0.117,0.116,0,0.49,0.112,0.257,0.289,0.143,0.252,0.168,0.03,0.112,0.116,0.327,0.673,0.328,0.528,0,0.354,0.904,0.265,0.028,0.067,0.149,0.247,0.457,0.667,3.084,0.469,0.089,0.074,0.076,53.858,8.298,0.892,0.119,0.891,2.164,3.04,275.45,0.563,1.887,1.668,0.093,10.387,0.064,0.161,1,0.592,5.002,0,0,0,0.164,0.689,1.036
13,19990731,Financials,1104,-0.004042,-0.056236,0,0.558,0.693,18.486,2.33,10.265,3.203,12.5,12.5,12.071,12.633,1.774,1.489,0.347,0.046,0.117,0.117,0,0.489,0.111,0.255,0.288,0.142,0.287,0.167,0.03,0.111,0.116,0.327,0.672,0.328,0.534,0,0.355,0.907,0.265,0.027,0.067,0.148,0.253,0.457,0.665,3.105,0.472,0.09,0.074,0.076,53.8,8.29,0.892,0.121,0.891,2.079,2.926,278.465,0.563,1.887,1.668,0.093,9.759,0.064,0.161,0.999,0.592,5.019,0,0,0,0.165,0.663,1.012
23,19990831,Financials,1103,-0.042096,-0.051938,0,0.598,0.651,17.38,2.4,10.29,2.405,12.033,11.993,11.905,12.32,1.673,1.42,0.347,0.046,0.117,0.116,0,0.494,0.112,0.257,0.29,0.123,0.26,0.168,0.029,0.108,0.113,0.338,0.658,0.342,0.559,0.006,0.39,0.899,0.239,0.026,0.061,0.149,0.243,0.456,0.624,3.328,0.508,0.089,0.073,0.08,54.754,8.297,0.892,0.126,0.892,2.131,2.786,258.438,0.499,1.581,1.454,0.09,10.243,0.062,0.157,0.984,0.581,4.942,-0.004,0,0,0.167,0.581,0.947
33,19990930,Financials,1115,-0.034189,-0.051316,0,0.535,0.647,16.847,2.47,10.28,2.268,11.469,11.382,11.158,11.628,1.604,1.369,0.347,0.046,0.117,0.117,0,0.494,0.112,0.257,0.29,0.127,0.269,0.168,0.029,0.109,0.113,0.337,0.659,0.341,0.559,0.006,0.387,0.906,0.245,0.026,0.061,0.149,0.244,0.463,0.63,3.291,0.501,0.089,0.073,0.08,54.754,8.226,0.891,0.125,0.891,2.152,2.819,266.137,0.495,1.58,1.526,0.091,10.339,0.062,0.157,0.98,0.581,5.209,-0.004,0,0,0.167,0.569,0.922
43,19991031,Financials,1105,0.018402,0.146552,0,0.547,0.65,17.205,2.46,10.264,2.372,11.715,11.547,11.264,11.859,1.637,1.368,0.346,0.046,0.116,0.116,0,0.494,0.112,0.257,0.289,0.127,0.269,0.168,0.029,0.109,0.112,0.337,0.659,0.34,0.558,0,0.37,0.899,0.245,0.026,0.062,0.149,0.242,0.463,0.63,3.22,0.5,0.089,0.073,0.08,54.653,8.187,0.891,0.125,0.89,2.136,2.822,261.269,0.516,1.602,1.565,0.091,9.891,0.062,0.158,0.98,0.579,5.311,-0.004,0,0,0.167,0.536,0.981
53,19991130,Financials,1095,-0.001552,-0.041106,0,0.456,0.729,16.435,2.53,10.549,1.878,11.042,10.938,10.698,11.001,1.504,1.328,0.345,0.046,0.114,0.114,0,0.499,0.111,0.26,0.29,0.13,0.23,0.167,0.029,0.11,0.111,0.352,0.652,0.354,0.585,0,0.37,0.908,0.247,0.022,0.058,0.149,0.259,0.455,0.559,3.617,0.534,0.089,0.073,0.085,54.426,8.354,0.893,0.134,0.892,2.039,2.532,280.795,0.503,1.6,1.508,0.091,10.511,0.06,0.157,1.007,0.574,5.319,-0.005,0,0,0.168,0.505,0.914
63,19991231,Financials,1160,-0.021854,-0.019233,0,0.442,0.732,15.553,2.74,10.48,1.83,10.417,10.387,10.156,10.377,1.449,1.284,0.345,0.047,0.114,0.114,0,0.499,0.112,0.261,0.291,0.103,0.23,0.167,0.029,0.11,0.112,0.353,0.651,0.355,0.589,0,0.334,0.904,0.251,0.022,0.058,0.15,0.259,0.483,0.57,3.564,0.537,0.088,0.073,0.085,54.228,8.354,0.893,0.134,0.892,2.091,2.617,288.88,0.542,1.622,1.514,0.091,10.697,0.06,0.157,1.007,0.574,5.464,-0.005,0,0,0.168,0.437,0.894
73,20000131,Financials,1156,-0.025071,-0.041818,0,0.412,0.734,14.667,2.93,10.464,1.777,9.893,9.828,9.614,9.836,1.36,1.223,0.344,0.047,0.114,0.114,0,0.498,0.112,0.261,0.291,0.102,0.229,0.167,0.029,0.11,0.112,0.354,0.651,0.357,0.588,0,0.344,0.904,0.209,0.022,0.058,0.15,0.256,0.475,0.578,3.552,0.54,0.088,0.073,0.085,54.265,8.298,0.892,0.133,0.891,2.091,2.6,288.88,0.529,1.597,1.5,0.092,10.619,0.06,0.158,1.007,0.574,5.499,-0.005,0,0,0.167,0.484,0.829
83,20000229,Financials,1159,-0.019323,-0.095176,0.208,0.605,0.76,13.685,3.11,10.896,-0.401,10.994,10.919,10.606,10.893,1.319,1.189,0.342,0.044,0.112,0.112,0,0.504,0.112,0.256,0.289,0.137,0.222,0.168,0.027,0.1,0.112,0.339,0.66,0.336,0.668,0,0.302,0.898,0.241,-0.003,0.056,0.149,0.416,0.412,0.651,4.513,0.508,0.096,0.074,0.076,54.563,8.679,0.897,0.141,0.896,2.034,2.447,309.266,0.623,1.532,1.452,0.087,11.206,0.057,0.148,0.972,0.56,3.564,-0.011,0,0,0.17,0.803,0.926
93,20000331,Financials,1137,0.017846,0.17461,0.211,0.636,0.76,13.776,3.14,10.884,-0.364,10.883,10.879,10.527,10.773,1.324,1.176,0.342,0.043,0.113,0.112,0,0.504,0.112,0.256,0.289,0.152,0.318,0.168,0.027,0.1,0.113,0.338,0.662,0.334,0.672,0,0.321,0.896,0.241,-0.003,0.055,0.149,0.417,0.411,0.671,4.478,0.505,0.096,0.074,0.075,54.693,8.774,0.898,0.141,0.897,2.066,2.54,296.02,0.65,1.521,1.436,0.087,11,0.057,0.148,0.976,0.565,4.399,-0.012,0,0,0.171,0.871,1.003
