,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
4,19990630,Health Care,812,0.031804,0.040895,0.0,-0.0,0.40299999999999997,-2.5540000000000003,1.14,4.1339999999999995,-1.607,-2.1069999999999998,-2.1180000000000003,-1.5759999999999998,-1.4140000000000001,2.316,2.573,0.368,0.212,-0.07200000000000001,-0.094,0.0,0.297,-0.055,-0.012,0.022000000000000002,-0.044000000000000004,-0.051,-0.062,0.015,-0.028999999999999998,-0.10099999999999999,0.077,0.878,0.077,0.154,0.064,0.25,0.409,-0.125,-0.09300000000000001,0.752,-0.003,0.257,0.043,0.716,0.0,0.083,0.10800000000000001,0.08199999999999999,0.203,2.24,0.47,0.337,0.10800000000000001,0.233,-0.642,0.36200000000000004,94.06200000000001,1.399,3.014,2.492,0.6990000000000001,4.079,9.372,5.329,1.173,0.902,1.994,0.038,0.087,0.0,0.0,-0.05,0.536
14,19990731,Health Care,805,0.034545,-0.044148,0.0,-0.0,0.405,-2.593,1.23,4.019,-1.7590000000000001,-2.168,-2.169,-1.74,-1.3980000000000001,2.417,2.6319999999999997,0.368,0.21,-0.07400000000000001,-0.095,0.0,0.293,-0.055999999999999994,-0.011000000000000001,0.02,-0.043,-0.05,-0.063,0.013999999999999999,-0.028999999999999998,-0.10099999999999999,0.073,0.883,0.07400000000000001,0.14800000000000002,0.064,0.251,0.38299999999999995,-0.127,-0.09699999999999999,0.7609999999999999,-0.004,0.264,0.038,0.716,0.0,0.081,0.11,0.083,0.19899999999999998,2.221,0.456,0.336,0.107,0.22899999999999998,-0.598,0.48,93.79799999999999,1.3330000000000002,2.995,2.444,0.6940000000000001,4.042,9.402999999999999,5.324,1.167,0.9009999999999999,1.992,0.037000000000000005,0.087,0.0,0.0,-0.052000000000000005,0.537
24,19990831,Health Care,802,-0.028686,0.027351999999999998,0.0,-0.0,0.37799999999999995,-2.371,1.22,4.428,-1.5930000000000002,-1.645,-1.635,-1.209,-1.327,2.237,2.627,0.368,0.209,-0.078,-0.087,0.0,0.298,-0.055999999999999994,-0.009000000000000001,0.02,-0.036000000000000004,-0.043,-0.057999999999999996,0.015,-0.023,-0.11,0.079,0.871,0.079,0.152,0.07,0.261,0.396,-0.078,-0.068,0.7559999999999999,-0.006999999999999999,0.26,0.04,0.7120000000000001,0.0,0.085,0.11199999999999999,0.083,0.191,2.263,0.486,0.35600000000000004,0.109,0.23800000000000002,-0.102,0.376,95.26100000000001,1.2109999999999999,2.904,2.316,0.7070000000000001,4.1530000000000005,9.328,5.414,1.2,0.9109999999999999,2.148,0.04,0.086,0.0,0.0,-0.047,0.5
34,19990930,Health Care,796,-0.0172,-0.078211,0.0,0.002,0.37799999999999995,-2.32,1.32,4.298,-1.453,-1.6880000000000002,-1.624,-1.329,-1.365,2.251,2.5669999999999997,0.361,0.209,-0.08,-0.092,0.0,0.298,-0.052000000000000005,-0.01,0.02,-0.035,-0.043,-0.057,0.015,-0.026000000000000002,-0.115,0.08,0.871,0.081,0.152,0.069,0.259,0.396,-0.077,-0.062,0.757,-0.006999999999999999,0.257,0.046,0.7120000000000001,0.0,0.086,0.11199999999999999,0.083,0.195,2.247,0.484,0.355,0.109,0.23800000000000002,-0.154,0.376,95.26100000000001,1.218,2.9339999999999997,2.309,0.7070000000000001,4.3,9.335,5.443,1.196,0.909,2.147,0.040999999999999995,0.085,0.0,0.0,-0.044000000000000004,0.44799999999999995
44,19991031,Health Care,791,-0.030898000000000002,0.089574,0.0,-0.0,0.37799999999999995,-2.053,1.34,4.485,-1.328,-1.655,-1.624,-1.172,-1.205,2.23,2.51,0.36,0.217,-0.08,-0.092,0.0,0.305,-0.049,-0.009000000000000001,0.02,-0.033,-0.042,-0.057,0.015,-0.025,-0.11599999999999999,0.08,0.8690000000000001,0.081,0.151,0.068,0.26,0.396,-0.077,-0.06,0.741,-0.006,0.255,0.049,0.7090000000000001,0.0,0.086,0.111,0.08199999999999999,0.19699999999999998,2.26,0.49200000000000005,0.355,0.109,0.239,-0.158,0.376,95.13,1.217,2.9339999999999997,2.325,0.7070000000000001,4.431,9.232000000000001,5.472,1.193,0.912,2.148,0.040999999999999995,0.081,0.0,0.0,-0.049,0.41100000000000003
54,19991130,Health Care,776,0.132134,0.023658000000000002,0.0,0.006999999999999999,0.366,-2.261,1.18,4.077,-1.061,-1.838,-1.6340000000000001,-1.456,-1.49,2.301,2.7689999999999997,0.35600000000000004,0.217,-0.06,-0.07,0.0,0.304,-0.043,-0.006999999999999999,0.02,-0.026000000000000002,-0.03,-0.046,0.015,-0.024,-0.094,0.08,0.8690000000000001,0.08199999999999999,0.155,0.068,0.261,0.397,-0.075,-0.057,0.705,0.006,0.254,0.048,0.718,0.0,0.087,0.10800000000000001,0.083,0.20199999999999999,2.2680000000000002,0.507,0.359,0.12,0.249,-0.115,0.376,93.027,1.162,2.841,2.222,0.736,4.1,9.052,5.311,1.214,0.961,2.188,0.043,0.08,0.0,0.0,-0.07,0.45899999999999996
64,19991231,Health Care,765,0.149123,-0.038119,0.0,0.003,0.369,-2.707,1.3,3.897,-0.9520000000000001,-2.287,-2.191,-1.6440000000000001,-1.7,2.593,2.906,0.36,0.21899999999999997,-0.069,-0.073,0.0,0.305,-0.045,-0.012,0.018000000000000002,-0.033,-0.040999999999999995,-0.05,0.013000000000000001,-0.026000000000000002,-0.095,0.085,0.8640000000000001,0.086,0.155,0.067,0.26,0.386,-0.085,-0.057,0.706,0.001,0.255,0.031,0.7070000000000001,0.0,0.087,0.10800000000000001,0.083,0.20600000000000002,2.26,0.509,0.363,0.121,0.251,-0.29100000000000004,0.314,94.24,1.176,2.8369999999999997,2.224,0.736,4.1,9.035,5.311,1.208,0.966,2.138,0.044000000000000004,0.081,0.0,0.0,-0.076,0.47100000000000003
74,20000131,Health Care,765,0.206473,0.073172,0.0,0.005,0.368,-3.42,1.2,3.8930000000000002,-1.526,-2.6639999999999997,-2.638,-1.7209999999999999,-1.744,3.048,3.3689999999999998,0.36,0.21899999999999997,-0.069,-0.071,0.0,0.305,-0.040999999999999995,-0.011000000000000001,0.019,-0.033,-0.040999999999999995,-0.047,0.013000000000000001,-0.026000000000000002,-0.092,0.083,0.868,0.084,0.153,0.067,0.258,0.396,-0.073,-0.057,0.74,0.004,0.255,0.031,0.713,0.0,0.086,0.109,0.083,0.203,2.213,0.509,0.358,0.11900000000000001,0.25,-0.115,0.406,94.24,1.178,2.8310000000000004,2.231,0.738,4.1739999999999995,9.037,5.31,1.217,0.973,2.164,0.043,0.08,0.0,0.0,-0.10800000000000001,0.491
84,20000229,Health Care,759,0.393879,0.004453,0.0,-0.01,0.34299999999999997,-5.281000000000001,1.37,3.897,-2.7939999999999996,-3.0410000000000004,-2.9760000000000004,-2.283,-2.283,3.648,4.322,0.349,0.23,-0.052000000000000005,-0.053,0.0,0.331,-0.038,-0.01,0.021,-0.042,-0.040999999999999995,-0.043,0.015,-0.027999999999999997,-0.043,0.075,0.877,0.08199999999999999,0.17800000000000002,0.075,0.263,0.486,-0.067,-0.036000000000000004,0.6559999999999999,0.006,0.264,0.035,0.705,0.0,0.077,0.11599999999999999,0.083,0.179,2.417,0.528,0.381,0.12300000000000001,0.255,0.052000000000000005,0.18100000000000002,95.477,1.006,2.7289999999999996,2.154,0.742,3.83,9.014,5.455,1.22,0.98,2.137,0.048,0.07400000000000001,0.0,0.0,-0.106,0.602
94,20000331,Health Care,755,-0.092346,-0.028037,0.0,-0.01,0.332,-5.178999999999999,1.24,3.665,-2.158,-2.76,-2.762,-2.039,-2.039,3.283,3.813,0.349,0.23,-0.049,-0.053,0.0,0.331,-0.038,-0.011000000000000001,0.021,-0.042,-0.040999999999999995,-0.045,0.013000000000000001,-0.027999999999999997,-0.042,0.07200000000000001,0.878,0.081,0.177,0.075,0.263,0.493,-0.059000000000000004,-0.036000000000000004,0.647,0.006,0.262,0.031,0.715,0.0,0.077,0.11599999999999999,0.083,0.17600000000000002,2.4130000000000003,0.53,0.38,0.122,0.253,0.091,0.177,92.67,1.006,2.739,2.154,0.742,3.8480000000000003,8.912,5.445,1.215,0.977,2.137,0.049,0.075,0.0,0.0,-0.051,0.593
