,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
5,19990630,Industrials,1033,0.035149,0.060118,0.0,0.242,0.654,15.625,1.54,7.4270000000000005,7.565,10.897,10.845,10.815999999999999,12.054,0.6609999999999999,1.666,0.38,0.33299999999999996,0.109,0.109,0.08800000000000001,0.29,0.035,0.075,0.109,0.126,0.187,0.055,0.14,0.138,0.105,0.248,0.7290000000000001,0.248,0.355,0.22,0.442,0.353,0.293,0.131,0.08900000000000001,0.075,0.153,0.537,0.537,1.36,0.324,0.09300000000000001,0.075,0.32299999999999995,2.1519999999999997,1.074,0.526,0.228,0.419,3.201,4.51,76.381,0.188,1.8980000000000001,1.348,1.21,5.697,10.312999999999999,6.077000000000001,2.68,1.794,5.372000000000001,0.035,0.0,0.0,0.0,0.402,0.861
15,19990731,Industrials,1019,0.005972,-0.035914999999999996,0.0,0.226,0.6409999999999999,16.083,1.58,7.435,7.314,11.037,10.734000000000002,10.877,11.963,0.6679999999999999,1.665,0.38,0.33299999999999996,0.109,0.109,0.087,0.289,0.034,0.075,0.109,0.125,0.18600000000000003,0.053,0.14,0.13699999999999998,0.10400000000000001,0.248,0.7290000000000001,0.249,0.355,0.21600000000000003,0.442,0.35,0.28800000000000003,0.126,0.08900000000000001,0.07400000000000001,0.152,0.536,0.536,1.36,0.324,0.09300000000000001,0.075,0.326,2.153,1.073,0.526,0.228,0.419,3.165,4.522,76.237,0.193,1.8980000000000001,1.3430000000000002,1.205,5.6979999999999995,10.397,6.0729999999999995,2.68,1.7830000000000001,5.343,0.036000000000000004,0.0,0.0,0.0,0.366,0.815
25,19990831,Industrials,1000,-0.047855,-0.025481,0.0,0.21100000000000002,0.597,14.859000000000002,1.64,7.428999999999999,6.577000000000001,9.978,9.93,10.334000000000001,11.413,0.616,1.4969999999999999,0.38,0.332,0.106,0.10400000000000001,0.084,0.29,0.034,0.073,0.10800000000000001,0.11900000000000001,0.18,0.052000000000000005,0.136,0.132,0.10099999999999999,0.24600000000000002,0.735,0.24600000000000002,0.35600000000000004,0.214,0.45,0.33,0.28600000000000003,0.126,0.081,0.07400000000000001,0.16,0.531,0.534,1.4080000000000001,0.325,0.092,0.075,0.324,2.1390000000000002,1.0659999999999998,0.527,0.22399999999999998,0.419,3.168,4.42,77.585,0.174,1.8619999999999999,1.341,1.198,5.721,10.407,6.017,2.648,1.765,5.439,0.038,0.0,0.0,0.0,0.297,0.738
35,19990930,Industrials,993,-0.036854000000000005,-0.008981,0.0,0.198,0.593,14.152000000000001,1.67,7.353,6.0920000000000005,9.408999999999999,9.238999999999999,9.777000000000001,10.511,0.5820000000000001,1.4340000000000002,0.38,0.32899999999999996,0.10400000000000001,0.10300000000000001,0.085,0.29,0.034,0.073,0.10800000000000001,0.11900000000000001,0.18100000000000002,0.052000000000000005,0.136,0.13,0.1,0.249,0.732,0.249,0.36200000000000004,0.215,0.451,0.341,0.285,0.127,0.08,0.07400000000000001,0.16,0.5329999999999999,0.535,1.431,0.33,0.092,0.07400000000000001,0.325,2.141,1.075,0.53,0.22699999999999998,0.42200000000000004,3.12,4.363,78.50399999999999,0.171,1.86,1.3419999999999999,1.194,5.704,10.365,5.997999999999999,2.6460000000000004,1.757,5.381,0.039,0.0,0.0,0.0,0.28300000000000003,0.718
45,19991031,Industrials,989,-0.034194,0.031751999999999996,0.0,0.185,0.595,13.132,1.84,7.431,5.587000000000001,8.764,8.597999999999999,8.889,9.804,0.546,1.37,0.38,0.331,0.105,0.10400000000000001,0.084,0.29100000000000004,0.034,0.07400000000000001,0.10800000000000001,0.11900000000000001,0.18100000000000002,0.053,0.136,0.131,0.1,0.25,0.731,0.249,0.36200000000000004,0.21600000000000003,0.451,0.341,0.289,0.127,0.079,0.07400000000000001,0.16,0.532,0.536,1.444,0.33,0.09300000000000001,0.07400000000000001,0.324,2.13,1.088,0.531,0.22699999999999998,0.423,3.1189999999999998,4.332,78.50399999999999,0.16699999999999998,1.859,1.3359999999999999,1.1909999999999998,5.742000000000001,10.294,5.974,2.627,1.736,5.381,0.04,0.0,0.0,0.0,0.24100000000000002,0.6890000000000001
55,19991130,Industrials,972,0.050692,-0.017958000000000002,0.0,0.175,0.675,13.114,1.86,7.112,5.4,9.273,8.961,9.186,9.547,0.5479999999999999,1.349,0.38,0.326,0.10400000000000001,0.10099999999999999,0.08199999999999999,0.289,0.033,0.073,0.106,0.11900000000000001,0.174,0.051,0.135,0.126,0.098,0.266,0.72,0.265,0.375,0.22399999999999998,0.451,0.384,0.295,0.129,0.076,0.07200000000000001,0.16,0.53,0.528,1.4580000000000002,0.35200000000000004,0.09300000000000001,0.07400000000000001,0.336,2.1590000000000003,1.1320000000000001,0.54,0.237,0.42700000000000005,3.0389999999999997,4.244,78.158,0.16399999999999998,1.849,1.318,1.176,5.7620000000000005,10.248,5.976,2.6439999999999997,1.7480000000000002,5.412000000000001,0.04,0.0,0.0,0.0,0.23199999999999998,0.701
65,19991231,Industrials,967,0.07181900000000001,0.10804000000000001,0.0,0.17600000000000002,0.677,13.344000000000001,1.96,7.122000000000001,5.2860000000000005,9.235,9.007,9.275,9.426,0.574,1.439,0.38,0.327,0.107,0.10099999999999999,0.083,0.287,0.033,0.071,0.106,0.11900000000000001,0.172,0.05,0.135,0.126,0.098,0.264,0.72,0.263,0.375,0.22399999999999998,0.45,0.39299999999999996,0.297,0.127,0.077,0.071,0.16399999999999998,0.525,0.532,1.466,0.34700000000000003,0.09300000000000001,0.07400000000000001,0.33399999999999996,2.147,1.125,0.539,0.23399999999999999,0.426,3.0410000000000004,4.226,78.05199999999999,0.16899999999999998,1.8530000000000002,1.324,1.183,5.7620000000000005,10.356,5.997999999999999,2.6439999999999997,1.766,5.477,0.04,0.0,0.0,0.0,0.233,0.7090000000000001
75,20000131,Industrials,961,0.032819,-0.092886,0.0,0.166,0.685,12.863,2.0,7.001,5.314,8.88,8.636000000000001,8.929,9.162,0.5539999999999999,1.435,0.38,0.324,0.10400000000000001,0.10099999999999999,0.083,0.28800000000000003,0.033,0.07200000000000001,0.106,0.11800000000000001,0.172,0.05,0.135,0.126,0.098,0.262,0.72,0.262,0.375,0.221,0.451,0.38799999999999996,0.294,0.13,0.077,0.071,0.16699999999999998,0.525,0.5379999999999999,1.452,0.34600000000000003,0.09300000000000001,0.07400000000000001,0.332,2.145,1.127,0.539,0.23600000000000002,0.425,3.0460000000000003,4.227,78.05199999999999,0.172,1.845,1.319,1.182,5.733,10.31,5.997000000000001,2.6489999999999996,1.77,5.492999999999999,0.04,0.0,0.0,0.0,0.218,0.679
85,20000229,Industrials,952,0.066078,-0.021571,0.0,0.28300000000000003,0.7,12.15,2.01,6.727,5.341,9.383,9.472999999999999,9.375,9.583,0.5579999999999999,1.4369999999999998,0.37799999999999995,0.314,0.10099999999999999,0.1,0.09,0.28800000000000003,0.031,0.067,0.107,0.11199999999999999,0.17,0.048,0.133,0.11800000000000001,0.095,0.271,0.71,0.27399999999999997,0.39,0.213,0.449,0.39799999999999996,0.293,0.125,0.069,0.071,0.16,0.501,0.531,1.495,0.353,0.09699999999999999,0.077,0.332,2.164,1.173,0.547,0.248,0.435,2.7310000000000003,3.697,81.988,0.158,1.8,1.278,1.183,5.483,10.582,6.117000000000001,2.594,1.7280000000000002,5.335,0.047,0.0,0.0,0.0,0.41600000000000004,0.77
95,20000331,Industrials,948,0.037606,0.11303800000000001,0.0,0.292,0.6890000000000001,12.567,2.0,6.687,5.593999999999999,9.423,9.375,9.476,9.738999999999999,0.573,1.476,0.377,0.314,0.10099999999999999,0.1,0.09,0.289,0.03,0.066,0.106,0.111,0.17,0.047,0.133,0.11800000000000001,0.096,0.26899999999999996,0.71,0.27,0.391,0.213,0.449,0.39899999999999997,0.29600000000000004,0.127,0.07,0.071,0.16,0.505,0.537,1.495,0.353,0.09699999999999999,0.077,0.32799999999999996,2.169,1.1840000000000002,0.547,0.245,0.434,2.705,3.6719999999999997,82.052,0.156,1.795,1.278,1.182,5.492999999999999,10.685,6.12,2.595,1.7280000000000002,5.3660000000000005,0.047,0.0,0.0,0.0,0.503,0.8109999999999999
