,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
6,19990630,Information Technology,1269,0.079203,0.122734,0.0,0.094,0.415,9.849,1.07,7.486000000000001,5.956,-1.052,-1.051,4.919,7.002000000000001,1.706,2.72,0.353,0.449,0.001,-0.006,0.0,0.433,-0.006,0.02,0.05,0.03,0.05,-0.004,0.064,0.045,-0.003,0.019,0.965,0.02,0.073,0.133,0.33,0.555,0.141,0.064,0.735,0.040999999999999995,0.435,0.212,0.89,0.0,0.017,0.15,0.08900000000000001,0.042,2.8710000000000004,0.514,0.35100000000000003,0.052000000000000005,0.19399999999999998,0.777,1.44,87.495,0.9640000000000001,2.569,2.061,1.04,4.596,7.274,4.998,1.682,1.494,2.6430000000000002,0.067,0.107,0.0,0.0,-0.036000000000000004,0.499
16,19990731,Information Technology,1283,0.016925,-0.012754999999999999,0.0,0.09300000000000001,0.413,10.026,1.01,7.087999999999999,5.997999999999999,-1.1059999999999999,-1.1059999999999999,4.648,6.492000000000001,1.7269999999999999,2.73,0.35200000000000004,0.449,0.006999999999999999,-0.006,0.0,0.433,-0.009000000000000001,0.018000000000000002,0.047,0.028999999999999998,0.053,-0.006,0.062,0.049,-0.002,0.018000000000000002,0.96,0.021,0.077,0.125,0.32799999999999996,0.545,0.128,0.062,0.725,0.039,0.424,0.209,0.888,0.0,0.017,0.147,0.08800000000000001,0.043,2.8930000000000002,0.513,0.35200000000000004,0.054000000000000006,0.19699999999999998,0.594,1.348,86.93,0.953,2.544,2.05,1.038,4.614,7.178999999999999,5.005,1.6780000000000002,1.483,2.65,0.067,0.11,0.0,0.0,-0.04,0.48700000000000004
26,19990831,Information Technology,1310,-0.008121,0.059727999999999996,0.0,0.102,0.33899999999999997,9.87,1.07,6.73,5.494,-1.246,-1.334,1.499,3.6289999999999996,1.78,2.895,0.354,0.43799999999999994,0.011000000000000001,-0.009000000000000001,0.0,0.43700000000000006,-0.009000000000000001,0.005,0.045,0.009000000000000001,0.032,-0.011000000000000001,0.057,0.033,-0.008,0.02,0.9640000000000001,0.02,0.071,0.11199999999999999,0.315,0.556,0.09699999999999999,0.052000000000000005,0.778,0.037000000000000005,0.41600000000000004,0.195,0.883,0.0,0.016,0.146,0.087,0.048,2.932,0.495,0.34299999999999997,0.054000000000000006,0.183,-0.266,0.264,85.87299999999999,1.016,2.6630000000000003,2.1430000000000002,1.015,4.694,7.106,5.042,1.585,1.395,2.532,0.063,0.109,0.0,0.0,-0.028999999999999998,0.428
36,19990930,Information Technology,1336,0.027027999999999996,0.000667,0.0,0.099,0.32299999999999995,9.53,1.18,6.461,4.65,-1.4709999999999999,-1.571,-0.541,-0.19699999999999998,1.922,2.9210000000000003,0.353,0.43799999999999994,0.015,-0.013999999999999999,0.0,0.43799999999999994,-0.016,0.0,0.042,0.001,0.018000000000000002,-0.015,0.05,0.032,-0.008,0.021,0.96,0.021,0.076,0.10400000000000001,0.314,0.552,0.086,0.038,0.768,0.032,0.413,0.177,0.884,0.0,0.017,0.147,0.087,0.049,2.975,0.496,0.34600000000000003,0.055999999999999994,0.185,-1.048,-0.228,85.83200000000001,1.016,2.6519999999999997,2.128,1.012,4.718999999999999,7.022,4.984,1.574,1.39,2.531,0.064,0.113,0.0,0.0,-0.038,0.342
46,19991031,Information Technology,1350,0.04786,0.043767,0.0,0.10300000000000001,0.316,8.787,1.19,6.303999999999999,4.013999999999999,-1.507,-1.545,-0.451,-0.061,2.031,3.103,0.35200000000000004,0.439,0.017,-0.013000000000000001,0.0,0.439,-0.016,-0.002,0.040999999999999995,-0.003,0.013999999999999999,-0.016,0.047,0.032,-0.009000000000000001,0.022000000000000002,0.958,0.022000000000000002,0.076,0.099,0.313,0.5489999999999999,0.08,0.036000000000000004,0.777,0.031,0.413,0.171,0.883,0.0,0.017,0.147,0.08800000000000001,0.05,2.9930000000000003,0.498,0.35,0.057,0.188,-1.135,-0.376,85.06,1.0190000000000001,2.627,2.128,1.008,4.794,7.042999999999999,4.968999999999999,1.57,1.383,2.5380000000000003,0.063,0.114,0.0,0.0,-0.044000000000000004,0.26
56,19991130,Information Technology,1359,0.304268,0.141546,0.0,0.111,0.319,8.265,1.0,6.478,5.044,-2.36,-2.339,-0.833,-0.815,2.676,4.035,0.353,0.426,0.006,-0.018000000000000002,0.0,0.445,-0.02,-0.002,0.039,-0.003,0.01,-0.019,0.044000000000000004,0.019,-0.011000000000000001,0.02,0.9570000000000001,0.02,0.064,0.092,0.305,0.534,0.083,0.035,0.8540000000000001,0.032,0.41,0.165,0.877,0.0,0.016,0.153,0.08900000000000001,0.054000000000000006,3.051,0.46299999999999997,0.33299999999999996,0.048,0.177,-1.9909999999999999,-0.93,84.20299999999999,1.1179999999999999,2.6860000000000004,2.228,0.96,4.814,7.004,5.005,1.525,1.34,2.371,0.06,0.115,0.0,0.0,-0.055,0.413
66,19991231,Information Technology,1375,0.263292,0.23383,0.0,0.152,0.303,9.27,1.05,6.108,4.915,-2.533,-2.593,-1.4369999999999998,-1.4369999999999998,3.5589999999999997,5.127999999999999,0.35200000000000004,0.424,0.006,-0.027999999999999997,0.0,0.447,-0.023,-0.005,0.035,-0.009000000000000001,0.006,-0.023,0.042,0.017,-0.013999999999999999,0.019,0.9590000000000001,0.019,0.062,0.08199999999999999,0.301,0.544,0.07,0.033,0.8959999999999999,0.03,0.425,0.142,0.882,0.0,0.015,0.153,0.09,0.051,3.0810000000000004,0.46,0.32899999999999996,0.046,0.172,-2.0269999999999997,-1.095,83.338,1.156,2.6919999999999997,2.249,0.955,4.797,7.028,5.0169999999999995,1.5119999999999998,1.3090000000000002,2.316,0.059000000000000004,0.11599999999999999,0.0,0.0,-0.079,0.435
76,20000131,Information Technology,1398,0.108758,-0.05728300000000001,0.0,0.153,0.293,9.502,0.934,5.539,4.825,-3.122,-3.355,-1.795,-1.8459999999999999,3.864,5.437,0.353,0.42700000000000005,0.011000000000000001,-0.025,0.0,0.446,-0.025,-0.006,0.033,-0.01,0.008,-0.024,0.040999999999999995,0.021,-0.013999999999999999,0.02,0.9520000000000001,0.02,0.063,0.079,0.303,0.535,0.062,0.03,0.863,0.028999999999999998,0.419,0.135,0.878,0.0,0.015,0.154,0.08900000000000001,0.054000000000000006,3.1189999999999998,0.46799999999999997,0.337,0.048,0.17800000000000002,-2.053,-1.2009999999999998,82.87,1.127,2.665,2.224,0.9570000000000001,4.793,7.032,5.041,1.525,1.3119999999999998,2.338,0.06,0.11800000000000001,0.0,0.0,-0.08,0.41700000000000004
86,20000229,Information Technology,1404,0.313886,0.197607,0.0,0.228,0.20199999999999999,8.116,0.824,6.074,4.353,-2.9960000000000004,-3.301,-2.07,-2.18,5.354,6.324,0.35,0.384,-0.021,-0.027999999999999997,0.0,0.45399999999999996,-0.024,-0.013000000000000001,0.03,-0.018000000000000002,-0.009000000000000001,-0.027999999999999997,0.037000000000000005,-0.009000000000000001,0.011000000000000001,0.01,0.98,0.01,0.043,0.057999999999999996,0.285,0.574,0.039,0.035,0.972,0.027000000000000003,0.419,0.131,0.895,0.0,0.009000000000000001,0.157,0.09,0.033,3.14,0.424,0.308,0.034,0.145,-1.581,-1.222,81.391,1.271,2.767,2.358,0.917,4.774,6.966,4.975,1.311,1.1740000000000002,2.086,0.063,0.11699999999999999,0.0,0.0,-0.063,0.40399999999999997
96,20000331,Information Technology,1397,-0.056534,0.011433,0.0,0.17800000000000002,0.195,6.369,0.909,5.922000000000001,4.255,-2.819,-3.0639999999999996,-2.222,-2.344,5.064,5.941,0.35,0.381,-0.023,-0.034,0.0,0.45399999999999996,-0.028999999999999998,-0.016,0.027000000000000003,-0.021,-0.011000000000000001,-0.031,0.036000000000000004,-0.013000000000000001,0.011000000000000001,0.009000000000000001,0.98,0.01,0.043,0.057,0.28300000000000003,0.574,0.047,0.036000000000000004,0.998,0.026000000000000002,0.42,0.115,0.8959999999999999,0.0,0.008,0.159,0.091,0.033,3.1210000000000004,0.413,0.303,0.034,0.141,-1.575,-1.318,81.12100000000001,1.2990000000000002,2.7880000000000003,2.375,0.9129999999999999,4.781000000000001,6.899,5.002,1.305,1.161,2.0669999999999997,0.065,0.11800000000000001,0.0,0.0,-0.05,0.366
