,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
7,19990630,Materials,299,0.039391,0.021292,0.193,0.35,0.727,14.184000000000001,1.86,7.329,6.257000000000001,10.888,10.445,10.437999999999999,11.658,0.705,1.53,0.369,0.233,0.068,0.07,0.07200000000000001,0.254,0.028999999999999998,0.076,0.125,0.091,0.131,0.049,0.12,0.10400000000000001,0.063,0.376,0.595,0.368,0.449,0.38299999999999995,0.396,0.341,0.401,0.136,0.045,0.084,0.11800000000000001,0.629,0.337,2.27,0.555,0.084,0.071,0.43200000000000005,1.4040000000000001,1.348,0.588,0.302,0.499,2.218,3.157,81.37,0.125,1.896,1.136,0.97,5.269,9.187000000000001,6.7589999999999995,2.427,1.4480000000000002,5.396,0.055,0.0,0.0,0.0,-0.006999999999999999,1.136
17,19990731,Materials,301,-0.008232999999999999,-0.018938,0.191,0.29100000000000004,0.723,13.78,1.9,7.235,6.025,10.568,10.338,10.37,11.533,0.657,1.496,0.368,0.233,0.069,0.071,0.07200000000000001,0.254,0.028999999999999998,0.076,0.128,0.092,0.131,0.05,0.12,0.106,0.066,0.374,0.5920000000000001,0.36700000000000005,0.444,0.38,0.4,0.348,0.4,0.136,0.045,0.085,0.12,0.629,0.34,2.27,0.555,0.084,0.071,0.426,1.415,1.3459999999999999,0.586,0.302,0.49700000000000005,2.218,3.157,81.37,0.125,1.87,1.133,0.986,5.287000000000001,9.176,6.7589999999999995,2.464,1.4580000000000002,5.4910000000000005,0.055,0.0,0.0,0.0,-0.006999999999999999,1.138
27,19990831,Materials,299,-0.047374,-0.050039,0.16699999999999998,0.198,0.662,13.015,2.03,7.097,6.142,9.339,8.954,9.149,10.149,0.616,1.3940000000000001,0.36700000000000005,0.235,0.076,0.077,0.073,0.252,0.031,0.075,0.128,0.091,0.121,0.049,0.11900000000000001,0.10300000000000001,0.068,0.39299999999999996,0.586,0.377,0.461,0.379,0.40399999999999997,0.326,0.418,0.136,0.043,0.083,0.113,0.5920000000000001,0.33399999999999996,2.391,0.594,0.084,0.07200000000000001,0.442,1.412,1.409,0.597,0.307,0.499,2.141,2.96,83.209,0.121,1.848,1.093,0.9570000000000001,5.269,9.236,6.638,2.47,1.431,5.593,0.053,0.0,0.0,0.0,-0.008,0.9229999999999999
37,19990930,Materials,294,-0.017938,-0.038782,0.16699999999999998,0.18100000000000002,0.669,12.792,2.09,7.039,5.841,9.139,8.707,8.792,9.92,0.5710000000000001,1.327,0.366,0.23399999999999999,0.076,0.078,0.073,0.252,0.031,0.075,0.128,0.095,0.125,0.05,0.11900000000000001,0.10400000000000001,0.07,0.389,0.586,0.374,0.45799999999999996,0.382,0.39799999999999996,0.326,0.413,0.134,0.043,0.085,0.115,0.589,0.33399999999999996,2.353,0.584,0.084,0.07200000000000001,0.442,1.399,1.4169999999999998,0.594,0.307,0.5,2.161,2.9739999999999998,83.598,0.121,1.847,1.093,0.9570000000000001,5.197,9.283,6.728,2.449,1.46,5.601,0.053,0.0,0.0,0.0,-0.004,0.888
47,19991031,Materials,294,-0.04262,0.026978,0.163,0.177,0.667,12.008,2.25,7.016,5.4639999999999995,8.783999999999999,8.335,8.446,9.586,0.545,1.2990000000000002,0.36700000000000005,0.233,0.078,0.079,0.073,0.252,0.031,0.075,0.128,0.095,0.12300000000000001,0.05,0.12,0.10300000000000001,0.07,0.396,0.585,0.38799999999999996,0.461,0.382,0.401,0.324,0.413,0.136,0.042,0.083,0.11199999999999999,0.5920000000000001,0.33399999999999996,2.3609999999999998,0.594,0.084,0.07200000000000001,0.445,1.399,1.45,0.598,0.311,0.508,2.1430000000000002,2.946,83.682,0.11800000000000001,1.8319999999999999,1.0859999999999999,0.9570000000000001,5.197,9.229,6.69,2.459,1.431,5.601,0.053,0.0,0.0,0.0,-0.006999999999999999,0.8809999999999999
57,19991130,Materials,290,0.027961,-0.0059240000000000004,0.166,0.212,0.764,11.202,2.08,6.973,5.29,9.355,8.975,9.158,9.231,0.5529999999999999,1.328,0.36700000000000005,0.23800000000000002,0.075,0.078,0.07200000000000001,0.255,0.03,0.073,0.121,0.092,0.11800000000000001,0.05,0.114,0.099,0.07200000000000001,0.40700000000000003,0.586,0.39899999999999997,0.47600000000000003,0.385,0.40399999999999997,0.35200000000000004,0.371,0.134,0.038,0.079,0.11800000000000001,0.57,0.33899999999999997,2.424,0.601,0.084,0.071,0.429,1.426,1.462,0.6,0.32,0.513,2.225,2.918,81.681,0.107,1.8319999999999999,1.081,0.9440000000000001,5.156000000000001,9.152000000000001,6.7860000000000005,2.4930000000000003,1.403,5.784,0.055,0.0,0.0,0.0,-0.003,0.9129999999999999
67,19991231,Materials,284,0.06771100000000001,0.088214,0.168,0.23800000000000002,0.7829999999999999,11.745,2.12,6.973,5.778,9.642000000000001,9.085,9.465,9.57,0.585,1.31,0.36700000000000005,0.239,0.079,0.08,0.075,0.252,0.031,0.073,0.12300000000000001,0.092,0.121,0.05,0.12,0.1,0.07400000000000001,0.40700000000000003,0.585,0.39899999999999997,0.48200000000000004,0.37799999999999995,0.406,0.35100000000000003,0.37799999999999995,0.135,0.038,0.08,0.11800000000000001,0.562,0.34600000000000003,2.417,0.601,0.085,0.07200000000000001,0.425,1.426,1.4780000000000002,0.606,0.319,0.513,2.255,2.918,81.41,0.105,1.8319999999999999,1.081,0.9490000000000001,5.184,9.187000000000001,6.81,2.5540000000000003,1.4080000000000001,5.806,0.055,0.0,0.0,0.0,-0.001,0.9259999999999999
77,20000131,Materials,283,-0.015419,-0.099052,0.171,0.19899999999999998,0.7829999999999999,11.092,2.25,7.019,5.257999999999999,8.887,8.612,8.841000000000001,8.968,0.56,1.271,0.369,0.244,0.079,0.08,0.075,0.255,0.032,0.076,0.125,0.09300000000000001,0.122,0.051,0.121,0.1,0.075,0.40700000000000003,0.585,0.397,0.48,0.379,0.40700000000000003,0.355,0.369,0.135,0.037000000000000005,0.08199999999999999,0.11800000000000001,0.569,0.34600000000000003,2.419,0.605,0.085,0.07200000000000001,0.428,1.419,1.516,0.606,0.318,0.514,2.262,2.926,81.07600000000001,0.10300000000000001,1.824,1.092,0.951,5.184,9.165,6.829,2.541,1.406,5.815,0.054000000000000006,0.0,0.0,0.0,0.001,0.847
87,20000229,Materials,280,0.001114,-0.089797,0.166,0.21100000000000002,0.741,10.06,2.36,7.194,5.392,9.201,9.137,8.908,9.137,0.523,1.248,0.365,0.23399999999999999,0.092,0.091,0.084,0.261,0.032,0.077,0.131,0.09,0.12300000000000001,0.052000000000000005,0.11900000000000001,0.099,0.08,0.41200000000000003,0.57,0.41,0.494,0.387,0.41,0.327,0.337,0.109,0.026000000000000002,0.083,0.109,0.5670000000000001,0.345,2.498,0.61,0.091,0.075,0.42200000000000004,1.492,1.528,0.612,0.324,0.525,2.006,2.7110000000000003,79.52199999999999,0.079,1.7409999999999999,1.0490000000000002,0.953,5.308,9.243,6.986000000000001,2.617,1.429,5.897,0.046,0.0,0.0,0.0,0.32299999999999995,0.8759999999999999
97,20000331,Materials,280,0.051195,0.107636,0.166,0.21100000000000002,0.737,10.765,2.23,7.155,5.56,9.945,9.743,9.623,9.847999999999999,0.524,1.272,0.365,0.23199999999999998,0.092,0.091,0.084,0.26,0.033,0.076,0.132,0.091,0.12300000000000001,0.052000000000000005,0.11699999999999999,0.1,0.08,0.414,0.5660000000000001,0.41200000000000003,0.489,0.39,0.408,0.332,0.342,0.109,0.026000000000000002,0.084,0.11199999999999999,0.568,0.33899999999999997,2.508,0.609,0.091,0.07400000000000001,0.424,1.492,1.535,0.611,0.32799999999999996,0.526,2.006,2.702,79.45100000000001,0.078,1.7409999999999999,1.051,0.953,5.251,9.255,6.997999999999999,2.559,1.421,6.019,0.045,0.0,0.0,0.0,0.275,0.9259999999999999
