,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
8,19990630,Telecommunication Services,117,0.078739,0.054564999999999995,0.19,-0.006999999999999999,0.255,-3.7230000000000003,1.72,7.874,3.0860000000000003,-3.2460000000000004,-3.22,-3.134,-3.0260000000000002,2.89,4.2860000000000005,0.396,0.201,0.019,-0.032,-0.005,0.376,-0.13699999999999998,0.012,0.129,0.016,0.031,-0.151,0.08900000000000001,0.012,-0.07400000000000001,0.604,0.373,0.589,0.638,0.013999999999999999,0.441,-0.061,0.12300000000000001,0.042,0.12,0.019,0.039,0.42200000000000004,0.23600000000000002,1.16,0.9329999999999999,0.095,0.087,0.645,1.989,1.524,0.708,0.483,0.662,-0.149,0.226,28.897,0.433,1.56,1.338,0.457,16.112000000000002,4.913,5.858,1.528,0.589,2.144,0.092,0.0,0.0,0.0,-0.149,-0.115
18,19990731,Telecommunication Services,120,0.019187,-0.020672,0.19,-0.008,0.254,-3.647,1.77,7.806,2.29,-3.573,-3.573,-3.573,-3.654,3.043,4.24,0.396,0.19899999999999998,0.021,-0.03,-0.008,0.374,-0.14400000000000002,0.006,0.125,0.004,0.018000000000000002,-0.14400000000000002,0.086,0.005,-0.094,0.628,0.359,0.623,0.653,0.013999999999999999,0.42100000000000004,-0.092,0.107,0.024,0.125,0.017,0.038,0.395,0.214,1.14,0.9359999999999999,0.094,0.087,0.6859999999999999,1.99,1.535,0.721,0.501,0.6629999999999999,-0.212,0.059000000000000004,28.897,0.513,1.579,1.399,0.452,16.192999999999998,4.729,5.862,1.516,0.5710000000000001,2.144,0.094,0.0,0.0,0.0,-0.132,-0.113
28,19990831,Telecommunication Services,121,-0.053280999999999995,-0.089505,0.21100000000000002,-0.006999999999999999,0.207,-3.177,2.02,7.742999999999999,1.3940000000000001,-2.738,-2.7039999999999997,-2.617,-2.7039999999999997,2.7560000000000002,3.466,0.396,0.192,0.022000000000000002,-0.02,-0.004,0.366,-0.15,-0.031,0.114,-0.04,-0.03,-0.155,0.075,-0.022000000000000002,-0.133,0.618,0.34600000000000003,0.615,0.667,0.016,0.435,-0.073,0.091,0.022000000000000002,0.114,-0.008,0.045,0.39899999999999997,0.244,1.0979999999999999,0.9640000000000001,0.095,0.08800000000000001,0.665,2.002,1.545,0.7340000000000001,0.505,0.684,-0.253,-0.295,32.491,0.342,1.294,1.172,0.484,16.607,4.663,5.997000000000001,1.4780000000000002,0.639,2.391,0.085,0.0,0.0,0.0,-0.147,-0.113
38,19990930,Telecommunication Services,120,0.01258,0.03796,0.21100000000000002,-0.006999999999999999,0.204,-3.7289999999999996,1.98,7.763,0.6559999999999999,-3.24,-2.964,-3.094,-3.22,2.9210000000000003,3.926,0.396,0.18899999999999997,0.004,-0.026000000000000002,-0.004,0.366,-0.15,-0.031,0.114,-0.036000000000000004,-0.04,-0.155,0.075,-0.022000000000000002,-0.16,0.624,0.33399999999999996,0.624,0.669,0.016,0.428,-0.022000000000000002,0.086,0.021,0.125,-0.008,0.043,0.38299999999999995,0.23399999999999999,1.137,0.9640000000000001,0.095,0.08800000000000001,0.6990000000000001,2.008,1.604,0.7390000000000001,0.509,0.695,-0.385,-0.295,31.848000000000003,0.488,1.304,1.284,0.423,16.246,4.621,5.957000000000001,1.482,0.596,2.33,0.084,0.0,0.0,0.0,-0.127,-0.095
48,19991031,Telecommunication Services,117,0.076581,0.08896799999999999,0.15,-0.006999999999999999,0.20600000000000002,-2.194,1.92,7.49,0.41600000000000004,-3.597,-3.233,-3.465,-3.465,3.425,4.223,0.396,0.182,0.003,-0.027999999999999997,-0.006999999999999999,0.358,-0.156,-0.034,0.095,-0.044000000000000004,-0.055999999999999994,-0.175,0.068,-0.033,-0.20199999999999999,0.643,0.316,0.643,0.6940000000000001,0.017,0.41100000000000003,-0.047,0.025,0.018000000000000002,0.135,-0.016,0.039,0.36,0.222,1.034,1.0759999999999998,0.095,0.08800000000000001,0.7070000000000001,2.011,1.581,0.742,0.5479999999999999,0.6990000000000001,-0.39,-0.406,31.848000000000003,0.53,1.3769999999999998,1.2990000000000002,0.429,15.414000000000001,4.621,5.925,1.4609999999999999,0.5670000000000001,2.282,0.084,0.0,0.0,0.0,-0.113,-0.11800000000000001
58,19991130,Telecommunication Services,120,0.155781,0.042299,0.094,-0.01,0.242,-3.557,1.89,7.7829999999999995,-0.218,-3.8939999999999997,-2.85,-3.8939999999999997,-3.931,3.503,3.8280000000000003,0.396,0.182,0.033,-0.026000000000000002,-0.012,0.381,-0.192,-0.075,0.087,-0.064,-0.048,-0.193,0.055999999999999994,-0.042,-0.22399999999999998,0.599,0.355,0.58,0.629,0.019,0.41100000000000003,-0.037000000000000005,0.011000000000000001,0.013000000000000001,0.131,-0.009000000000000001,0.049,0.266,0.223,0.9440000000000001,0.943,0.09699999999999999,0.092,0.6829999999999999,1.989,1.442,0.68,0.489,0.645,-0.374,-0.555,30.372,0.618,1.456,1.3780000000000001,0.431,15.966,4.772,6.007000000000001,1.338,0.5329999999999999,2.419,0.08199999999999999,0.0,0.0,0.0,-0.14300000000000002,-0.08900000000000001
68,19991231,Telecommunication Services,129,0.18776700000000002,0.011817,0.039,-0.024,0.23,-4.038,2.0,6.777,-2.154,-5.23,-4.126,-5.874,-5.874,3.864,4.879,0.396,0.175,0.04,-0.03,-0.013000000000000001,0.363,-0.20600000000000002,-0.085,0.07200000000000001,-0.071,-0.06,-0.21,0.042,-0.042,-0.27399999999999997,0.5720000000000001,0.366,0.56,0.623,0.022000000000000002,0.4,-0.037000000000000005,-0.031,0.011000000000000001,0.138,-0.044000000000000004,0.052000000000000005,0.19899999999999998,0.242,0.626,0.943,0.096,0.091,0.6459999999999999,1.989,1.2819999999999998,0.672,0.46,0.634,-0.46799999999999997,-0.597,30.69,0.644,1.591,1.4240000000000002,0.431,15.927,4.785,5.981,1.327,0.527,2.319,0.08199999999999999,0.0,0.0,0.0,-0.195,-0.063
78,20000131,Telecommunication Services,132,0.094662,-0.020873,0.067,-0.027000000000000003,0.22699999999999998,-5.195,2.11,6.367999999999999,-2.275,-4.346,-3.7039999999999997,-5.845,-5.931,3.7230000000000003,4.681,0.39799999999999996,0.179,0.045,-0.03,-0.012,0.363,-0.20600000000000002,-0.085,0.07200000000000001,-0.069,-0.068,-0.21,0.045,-0.047,-0.272,0.5720000000000001,0.366,0.56,0.623,0.022000000000000002,0.37200000000000005,-0.04,-0.04,0.01,0.166,-0.044000000000000004,0.049,0.19899999999999998,0.242,0.626,0.9390000000000001,0.096,0.092,0.655,1.989,1.2790000000000001,0.672,0.47200000000000003,0.631,-0.46799999999999997,-0.597,31.351999999999997,0.644,1.611,1.449,0.45399999999999996,15.995999999999999,4.772,6.007000000000001,1.3319999999999999,0.54,2.211,0.08199999999999999,0.0,0.0,0.0,-0.17300000000000001,-0.067
88,20000229,Telecommunication Services,133,0.32025,-0.029692000000000003,0.0,-0.045,0.195,-11.886,2.21,7.91,7.645,-6.968,-6.481,-7.445,-7.445,5.039,4.935,0.39399999999999996,0.14300000000000002,0.033,-0.063,-0.022000000000000002,0.365,-0.187,-0.1,0.069,-0.062,-0.07,-0.203,0.031,-0.055999999999999994,-0.065,0.48100000000000004,0.46299999999999997,0.48100000000000004,0.534,0.011000000000000001,0.368,-0.07200000000000001,0.08800000000000001,0.028999999999999998,0.19899999999999998,-0.006999999999999999,0.046,0.159,0.24100000000000002,0.8420000000000001,0.5920000000000001,0.107,0.098,0.605,1.712,1.125,0.625,0.402,0.5579999999999999,-0.51,-0.6629999999999999,34.215,0.8190000000000001,1.807,1.6909999999999998,0.433,17.715,4.9030000000000005,6.0520000000000005,0.958,0.434,1.501,0.095,0.0,0.0,0.0,-0.226,-0.115
98,20000331,Telecommunication Services,132,-0.017948,0.079815,0.0,-0.032,0.183,-10.255999999999998,2.02,7.949,7.605,-6.329,-6.348,-6.635,-6.635,5.142,5.415,0.39299999999999996,0.14400000000000002,0.015,-0.07200000000000001,-0.031,0.36700000000000005,-0.191,-0.10099999999999999,0.068,-0.068,-0.08199999999999999,-0.209,0.027999999999999997,-0.057999999999999996,-0.065,0.48100000000000004,0.461,0.48100000000000004,0.537,0.013000000000000001,0.369,-0.146,0.08,0.027999999999999997,0.17800000000000002,-0.018000000000000002,0.047,0.133,0.239,0.9,0.633,0.107,0.098,0.611,1.73,1.135,0.632,0.402,0.563,-0.529,-0.69,34.215,0.804,1.796,1.6840000000000002,0.44,16.772000000000002,4.863,6.011,0.958,0.441,1.501,0.094,0.0,0.0,0.0,-0.183,-0.099
