,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
9,19990630,Utilities,162,0.013619,-0.032512,0.023,1.209,0.8540000000000001,17.619,4.68,8.208,7.5120000000000005,14.272,14.272,14.019,14.36,1.179,1.274,0.35700000000000004,0.11800000000000001,0.111,0.109,0.083,0.261,0.071,0.159,0.251,0.09699999999999999,0.11800000000000001,0.11199999999999999,0.11900000000000001,0.114,0.08,0.494,0.479,0.493,0.583,0.171,0.46399999999999997,0.266,0.48200000000000004,0.10800000000000001,0.017,0.162,0.145,0.795,0.212,3.2939999999999996,0.7240000000000001,0.084,0.071,0.462,0.968,2.101,0.6759999999999999,0.384,0.562,2.228,2.7430000000000003,29.445999999999998,0.08900000000000001,0.858,0.6759999999999999,0.449,16.083,10.079,8.675,1.47,0.706,16.839000000000002,0.037000000000000005,0.0,0.0,0.0,1.043,2.741
19,19990731,Utilities,160,0.021314,-0.0022649999999999997,0.023,1.216,0.863,18.611,4.39,8.163,7.8020000000000005,14.372,14.190999999999999,13.809000000000001,14.353,1.149,1.31,0.35700000000000004,0.11800000000000001,0.111,0.109,0.08199999999999999,0.261,0.071,0.159,0.251,0.09699999999999999,0.11800000000000001,0.11,0.11800000000000001,0.113,0.08,0.495,0.479,0.494,0.585,0.165,0.46399999999999997,0.26899999999999996,0.48200000000000004,0.10800000000000001,0.017,0.162,0.14400000000000002,0.795,0.212,3.284,0.7240000000000001,0.084,0.071,0.465,0.973,2.113,0.677,0.384,0.563,2.227,2.7430000000000003,30.488000000000003,0.08900000000000001,0.858,0.677,0.449,16.083,10.079,8.652000000000001,1.462,0.706,16.839000000000002,0.037000000000000005,0.0,0.0,0.0,0.988,2.6260000000000003
29,19990831,Utilities,160,0.006548,0.0037560000000000002,0.024,1.0590000000000002,0.778,18.215999999999998,4.39,8.206,7.154,13.654000000000002,13.739,13.863,14.139000000000001,1.156,1.3019999999999998,0.359,0.11900000000000001,0.113,0.111,0.083,0.261,0.071,0.157,0.255,0.095,0.11800000000000001,0.115,0.11699999999999999,0.111,0.081,0.491,0.484,0.49,0.591,0.16399999999999998,0.46399999999999997,0.26899999999999996,0.503,0.10800000000000001,0.019,0.16399999999999998,0.142,0.789,0.204,3.319,0.74,0.083,0.07,0.46799999999999997,0.978,2.099,0.6759999999999999,0.382,0.564,2.234,2.665,29.978,0.08900000000000001,0.86,0.685,0.442,16.241,9.751,8.774,1.44,0.69,22.414,0.038,0.0,0.0,0.0,0.879,2.6510000000000002
39,19990930,Utilities,159,-0.025471,-0.041053,0.024,0.99,0.779,17.629,4.56,8.21,7.007000000000001,13.003,12.972999999999999,13.052,13.259,1.147,1.281,0.358,0.11900000000000001,0.113,0.11199999999999999,0.083,0.261,0.07200000000000001,0.157,0.255,0.095,0.11800000000000001,0.115,0.11699999999999999,0.111,0.081,0.49200000000000005,0.484,0.49,0.59,0.16399999999999998,0.465,0.27,0.501,0.10800000000000001,0.019,0.16399999999999998,0.14,0.792,0.204,3.3160000000000003,0.741,0.083,0.071,0.467,0.978,2.103,0.6759999999999999,0.382,0.564,2.2359999999999998,2.661,29.686999999999998,0.09,0.8590000000000001,0.693,0.441,16.410999999999998,9.743,8.758,1.442,0.688,22.414,0.037000000000000005,0.0,0.0,0.0,0.8009999999999999,2.569
49,19991031,Utilities,157,0.021602,0.019278,0.025,1.089,0.779,17.645,4.55,8.21,7.21,13.202,13.19,13.243,13.72,1.153,1.29,0.359,0.11900000000000001,0.113,0.11199999999999999,0.083,0.261,0.07200000000000001,0.157,0.255,0.096,0.11800000000000001,0.115,0.11699999999999999,0.111,0.081,0.493,0.48200000000000004,0.49200000000000005,0.59,0.16399999999999998,0.46399999999999997,0.27,0.501,0.106,0.019,0.16399999999999998,0.14,0.795,0.203,3.3160000000000003,0.741,0.083,0.07,0.46799999999999997,0.977,2.103,0.6759999999999999,0.382,0.564,2.2359999999999998,2.661,30.269000000000002,0.09,0.8590000000000001,0.693,0.44,16.070999999999998,9.875,8.786,1.442,0.687,21.541999999999998,0.037000000000000005,0.0,0.0,0.0,0.818,2.5069999999999997
59,19991130,Utilities,156,-0.02585,-0.066227,0.038,0.937,0.79,16.635,4.78,8.16,6.452999999999999,12.159,12.237,12.637,12.731,1.074,1.198,0.358,0.11599999999999999,0.114,0.113,0.084,0.264,0.07400000000000001,0.156,0.253,0.095,0.11900000000000001,0.114,0.115,0.11,0.084,0.496,0.484,0.494,0.607,0.158,0.44799999999999995,0.311,0.474,0.10800000000000001,0.022000000000000002,0.163,0.15,0.733,0.212,3.33,0.7609999999999999,0.083,0.07,0.46,0.9990000000000001,2.1719999999999997,0.684,0.38299999999999995,0.574,2.231,2.78,29.680999999999997,0.094,0.8440000000000001,0.674,0.43200000000000005,15.292,9.968,8.883,1.4669999999999999,0.693,22.162,0.037000000000000005,0.0,0.0,0.0,0.655,2.311
69,19991231,Utilities,154,-0.017641999999999998,-0.0012050000000000001,0.038,0.937,0.79,16.416,4.87,8.146,6.295,12.024000000000001,12.119000000000002,12.232999999999999,12.283,1.021,1.1640000000000001,0.358,0.11599999999999999,0.114,0.113,0.084,0.264,0.07400000000000001,0.156,0.254,0.095,0.12,0.114,0.115,0.111,0.084,0.494,0.485,0.49200000000000005,0.607,0.16,0.44799999999999995,0.318,0.474,0.10800000000000001,0.021,0.163,0.158,0.733,0.214,3.322,0.759,0.083,0.07,0.45799999999999996,0.9990000000000001,2.1719999999999997,0.684,0.38299999999999995,0.573,2.247,2.78,29.75,0.09,0.84,0.664,0.435,15.194,10.047,8.981,1.4669999999999999,0.695,20.355999999999998,0.038,0.0,0.0,0.0,0.68,2.1919999999999997
79,20000131,Utilities,153,0.030128,0.09650299999999999,0.037000000000000005,0.946,0.792,16.48,4.89,8.148,6.388999999999999,12.140999999999998,12.07,12.327,12.552,1.087,1.194,0.358,0.11599999999999999,0.113,0.11199999999999999,0.084,0.262,0.07400000000000001,0.156,0.254,0.095,0.11900000000000001,0.114,0.115,0.111,0.084,0.496,0.484,0.49200000000000005,0.609,0.161,0.446,0.313,0.466,0.107,0.022000000000000002,0.162,0.162,0.73,0.215,3.327,0.7609999999999999,0.083,0.07,0.45899999999999996,1.0,2.1719999999999997,0.684,0.384,0.574,2.239,2.78,29.75,0.092,0.8390000000000001,0.662,0.435,15.269,10.076,8.972000000000001,1.4680000000000002,0.695,21.209,0.037000000000000005,0.0,0.0,0.0,0.86,2.218
89,20000229,Utilities,150,-0.045001,-0.05678300000000001,0.608,1.35,0.902,14.703,5.15,7.891,6.111000000000001,12.5,12.577,12.5,12.540999999999999,0.966,1.107,0.358,0.11,0.11199999999999999,0.111,0.085,0.26,0.076,0.158,0.247,0.091,0.11800000000000001,0.114,0.11,0.107,0.08199999999999999,0.509,0.474,0.508,0.633,0.16399999999999998,0.52,0.08,0.375,0.09300000000000001,0.02,0.16399999999999998,0.16399999999999998,0.624,0.24100000000000002,3.6489999999999996,0.767,0.086,0.071,0.455,1.024,2.3080000000000003,0.69,0.391,0.589,2.23,2.7760000000000002,32.453,0.08199999999999999,0.823,0.6459999999999999,0.44799999999999995,15.08,9.045,7.7989999999999995,1.469,0.7,16.916,0.036000000000000004,0.0,0.0,0.0,1.092,2.178
99,20000331,Utilities,146,0.050305,0.055073000000000004,0.61,1.305,0.904,15.469000000000001,5.08,7.85,6.478,12.731,12.899000000000001,12.37,12.395,1.014,1.151,0.355,0.109,0.114,0.11199999999999999,0.085,0.259,0.077,0.158,0.247,0.092,0.11800000000000001,0.113,0.111,0.107,0.08199999999999999,0.51,0.47200000000000003,0.509,0.632,0.16399999999999998,0.52,0.078,0.373,0.09300000000000001,0.02,0.16399999999999998,0.16399999999999998,0.643,0.242,3.6239999999999997,0.773,0.086,0.071,0.45799999999999996,1.024,2.311,0.695,0.391,0.589,2.24,2.787,32.403,0.08199999999999999,0.8190000000000001,0.6409999999999999,0.446,15.036,8.974,7.82,1.453,0.695,16.094,0.036000000000000004,0.0,0.0,0.0,1.129,2.221
